symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2018,4914000000.0,2227000000.0,2687000000.0,0.5468050468,385000000.0,1374000000.0,0.0,1759000000.0,3986000000.0,38000000.0,75000000.0,303000000.0,1231000000.0,0.2505087505,928000000.0,0.1888481888,18000000.0,946000000.0,0.1925111925,630000000.0,316000000.0,0.0643060643,0.98,0.97
AA,2018,13403000000.0,10081000000.0,3322000000.0,0.2478549578,31000000.0,0.0,0.0,1126000000.0,11207000000.0,0.0,122000000.0,733000000.0,1808000000.0,0.1348951727,2196000000.0,0.1638439155,-599000000.0,1597000000.0,0.1191524286,726000000.0,227000000.0,0.0169365068,1.22,1.2
AADI,2018,20157430.0,0.0,20157430.0,1.0,17852756.0,13485918.0,0.0,31332280.0,31332280.0,0.0,0.0,46686.0,-10349949.0,-0.5134557828,-11174850.0,-0.554378708,778215.0,-10396635.0,-0.5157718519,778215.0,-10396635.0,-0.5157718519,-0.5,-0.5
AAIC,2018,130953000.0,0.0,130953000.0,1.0,0.0,13370000.0,0.0,-137192000.0,-137192000.0,130953000.0,84825000.0,0.0,-6239000.0,-0.0476430475,-6239000.0,-0.0476430475,-84825000.0,-91064000.0,-0.6953945309,733000.0,-91797000.0,-0.7009919589,-3.16,-3.16
AAL,2018,44541000000.0,34490000000.0,10051000000.0,0.2256572596,0.0,0.0,1520000000.0,6608000000.0,41098000000.0,118000000.0,1056000000.0,2159000000.0,2940000000.0,0.0660066007,2505000000.0,0.0562403179,1103000000.0,1884000000.0,0.0422981074,472000000.0,1412000000.0,0.0317011293,3.04,3.03
AAMC,2018,15926000.0,17320000.0,-1394000.0,-0.0875298254,0.0,5214000.0,0.0,5214000.0,22534000.0,0.0,0.0,436000.0,-10065000.0,-0.6319854326,-6608000.0,-0.4149190004,-3893000.0,-10501000.0,-0.6593620495,375000.0,-10876000.0,-0.6829084516,-6.75,-6.75
AAME,2018,185553000.0,0.0,185553000.0,1.0,0.0,0.0,0.0,184000000.0,186524000.0,0.0,2037000.0,987000.0,2053000.0,0.0110642242,1066000.0,0.0057449893,113000.0,-971000.0,-0.0052330062,-267000.0,-704000.0,-0.0037940642,-0.0347,-0.0347
AAN,2018,1794716000.0,708154000.0,1086562000.0,0.6054228078,0.0,482712000.0,0.0,913870000.0,1622024000.0,0.0,16440000.0,482151000.0,653977000.0,0.3643902434,171826000.0,0.0957399388,-108258000.0,63568000.0,0.0354195316,12915000.0,50653000.0,0.0282234069,1.5,1.5
AAOI,2018,267465000.0,179692000.0,87773000.0,0.3281663021,49903000.0,39497000.0,9141000.0,97607000.0,277299000.0,282000.0,1106000.0,29698000.0,21026000.0,0.0786121549,-10768000.0,-0.0402594732,990000.0,-9778000.0,-0.0365580543,-7632000.0,-2146000.0,-0.0080234797,-0.11,-0.11
AAON,2018,433947000.0,330414000.0,103533000.0,0.2385844354,0.0,44936000.0,762000.0,46648000.0,377062000.0,196000.0,0.0,17655000.0,73594000.0,0.1695921391,55790000.0,0.1285640873,-1142000.0,55939000.0,0.1289074472,13367000.0,42572000.0,0.0981041464,0.81,0.81
AAP,2018,9580554000.0,5361141000.0,4219413000.0,0.4404143017,0.0,0.0,0.0,3615138000.0,8976279000.0,0.0,56588000.0,238184000.0,850036000.0,0.0887251405,604275000.0,0.0630730749,-49011000.0,555264000.0,0.0579574,131417000.0,423847000.0,0.0442403435,5.75,5.73
AAPL,2018,265595000000.0,163756000000.0,101839000000.0,0.3834371882,14236000000.0,0.0,0.0,30941000000.0,194697000000.0,5686000000.0,3240000000.0,10903000000.0,81801000000.0,0.3079914908,70898000000.0,0.2669402662,2005000000.0,72903000000.0,0.2744893541,13372000000.0,59531000000.0,0.2241420207,3.0,2.98
AAT,2018,330867000.0,121455000.0,209412000.0,0.6329189674,0.0,22784000.0,0.0,129877000.0,251332000.0,238000.0,52248000.0,107093000.0,179354000.0,0.5420727966,79535000.0,0.2403835982,-52006000.0,27529000.0,0.0832026162,327000.0,19686000.0,0.0594982274,0.42,0.31
AB,2018,270647000.0,0.0,270647000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270647000.0,1.0,270647000.0,1.0,0.0,270647000.0,1.0,28250000.0,242397000.0,0.8956204946,2.5,2.49
ABBV,2018,32753000000.0,7718000000.0,25035000000.0,0.7643574634,10753000000.0,7399000000.0,0.0,18652000000.0,26370000000.0,204000000.0,1348000000.0,1765000000.0,8310000000.0,0.2537172167,6383000000.0,0.1948829115,-1186000000.0,5197000000.0,0.158672488,-490000000.0,5687000000.0,0.1736329497,3.85,3.68
ABC,2018,167939635000.0,163327318000.0,4612317000.0,0.0274641361,0.0,0.0,2460301000.0,2925428000.0,166252746000.0,14941000.0,189640000.0,510109000.0,1919685000.0,0.0114308037,1443685000.0,0.0085964519,-266262000.0,1177423000.0,0.0070109894,-438469000.0,1658405000.0,0.0098750066,7.61,7.53
ABCB,2018,457788000.0,0.0,457788000.0,1.0,0.0,183086000.0,5571000.0,-236364000.0,-236364000.0,413326000.0,69934000.0,19526000.0,240950000.0,0.5263353343,221424000.0,0.4836824032,-69934000.0,151490000.0,0.3309173679,30463000.0,121027000.0,0.2643734654,2.81,2.8
ABCL,2018,8830557.0,0.0,8830557.0,1.0,5802521.0,2150652.0,711537.0,7989204.0,7989204.0,42000.0,212625.0,918459.0,1439938.0,0.1630631001,-753000.0,-0.0852720842,1061854.0,308854.0,0.0349755967,1274479.0,308854.0,0.0349755967,0.0014,0.0013
ABEO,2018,2998000.0,0.0,2998000.0,1.0,38698000.0,20106000.0,0.0,61164000.0,61164000.0,1506000.0,11000.0,2360000.0,-54300000.0,-18.1120747165,-58166000.0,-19.4016010674,1495000.0,-56671000.0,-18.9029352902,1506000.0,-56671000.0,-18.9029352902,-29.81,-29.81
ABG,2018,6874400000.0,5771400000.0,1103000000.0,0.1604503666,0.0,0.0,0.0,788400000.0,6559800000.0,0.0,86100000.0,33700000.0,344600000.0,0.0501280112,310900000.0,0.0452257652,-86100000.0,224800000.0,0.0327010357,56800000.0,168000000.0,0.0244384965,8.36,8.28
ABIO,2018,0.0,0.0,0.0,0.0,4239000.0,3879000.0,0.0,8118000.0,8118000.0,162000.0,8000.0,22000.0,-7932000.0,0.0,-8118000.0,0.0,154000.0,-7964000.0,0.0,-31000.0,-7931000.0,0.0,-10.31,-10.31
ABM,2018,6442200000.0,5747400000.0,694800000.0,0.1078513551,0.0,438000000.0,0.0,6251400000.0,6251400000.0,0.0,54100000.0,112500000.0,306500000.0,0.0475769147,136700000.0,0.0212194592,-106300000.0,87700000.0,0.0136133619,-8200000.0,97800000.0,0.0151811493,1.48,1.47
ABNB,2018,3651985000.0,864032000.0,2787953000.0,0.7634075715,579193000.0,479487000.0,1101327000.0,2769209000.0,3633241000.0,66793000.0,26143000.0,82401000.0,155577000.0,0.0426006679,18744000.0,0.0051325512,-12361000.0,47033000.0,0.0128787495,63893000.0,-16860000.0,-0.0046166674,-0.0318,-0.0318
ABR,2018,331081000.0,0.0,331081000.0,1.0,0.0,110470000.0,37074000.0,330000000.0,330000000.0,251768000.0,153818000.0,55577000.0,334992000.0,1.0118128192,279415000.0,0.8439475536,-121633000.0,157782000.0,0.4765661575,9731000.0,115866000.0,0.349962698,1.65,1.24
