symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2020,5339000000.0,2502000000.0,2837000000.0,0.5313729163,495000000.0,0.0,0.0,1991000000.0,4493000000.0,8000000.0,78000000.0,382000000.0,1228000000.0,0.230005619,846000000.0,0.1584566398,-4000000.0,842000000.0,0.1577074358,123000000.0,719000000.0,0.1346694137,2.33,2.3
AA,2020,9286000000.0,7969000000.0,1317000000.0,0.1418264053,27000000.0,0.0,0.0,886000000.0,8855000000.0,0.0,146000000.0,653000000.0,1076000000.0,0.1158733577,423000000.0,0.0455524445,-250000000.0,173000000.0,0.018630196,187000000.0,-14000000.0,-0.0015076459,-0.0753,-0.0753
AADI,2020,14000000.0,0.0,14000000.0,1.0,15008000.0,2121000.0,0.0,16549000.0,16549000.0,41000.0,815000.0,-103000.0,-2652000.0,-0.1894285714,-2549000.0,-0.1820714286,-927000.0,-3476000.0,-0.2482857143,2000.0,-3478000.0,-0.2484285714,-0.17,-0.17
AAIC,2020,-55101000.0,0.0,-55101000.0,1.0,0.0,12615000.0,0.0,-12615000.0,-12615000.0,46014000.0,22916000.0,0.0,-67716000.0,1.2289432134,-67716000.0,1.2289432134,0.0,-67716000.0,1.2289432134,0.0,-67716000.0,1.2289432134,-1.92,-1.92
AAL,2020,17337000000.0,24933000000.0,-7596000000.0,-0.4381380862,0.0,0.0,513000000.0,3482000000.0,28415000000.0,41000000.0,1227000000.0,195000000.0,-10226000000.0,-0.5898367653,-10421000000.0,-0.601084386,-1032000000.0,-11453000000.0,-0.6606102555,-2568000000.0,-8885000000.0,-0.512487743,-18.36,-18.36
AAMC,2020,0.0,11977000.0,-11977000.0,0.0,0.0,8533000.0,0.0,8533000.0,20510000.0,0.0,0.0,430000.0,-27024000.0,0.0,-27454000.0,0.0,13503000.0,-13951000.0,0.0,769000.0,-14720000.0,0.0,-9.02,-9.02
AAME,2020,195348000.0,0.0,195348000.0,1.0,0.0,0.0,0.0,-179921000.0,179845000.0,0.0,1610000.0,980000.0,16407000.0,0.0839885742,15427000.0,0.0789718861,76000.0,15503000.0,0.0793609354,3334000.0,12169000.0,0.0622939575,0.58,0.56
AAN,2020,1734919000.0,651377000.0,1083542000.0,0.6245490423,0.0,476575000.0,0.0,895683000.0,1547060000.0,0.0,10006000.0,571260000.0,761428000.0,0.4388838903,190168000.0,0.1096120338,-587982000.0,-397814000.0,-0.2292983131,-131902000.0,-265912000.0,-0.1532705561,-7.85,-7.85
AAOI,2020,234623000.0,184082000.0,50541000.0,0.2154136636,43393000.0,41903000.0,14087000.0,96675000.0,280757000.0,255000.0,5635000.0,25292000.0,-20842000.0,-0.0888318707,-46134000.0,-0.1966303389,-5090000.0,-51224000.0,-0.2183247167,7228000.0,-58452000.0,-0.2491315856,-2.67,-2.67
AAON,2020,514551000.0,358702000.0,155849000.0,0.3028834848,0.0,55401000.0,823000.0,60491000.0,419193000.0,88000.0,0.0,12678000.0,114514000.0,0.2225513117,101836000.0,0.1979123547,139000.0,101975000.0,0.1981824931,22966000.0,79009000.0,0.1535494052,1.51,1.49
