symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2016,4202000000.0,2005000000.0,2197000000.0,0.5228462637,329000000.0,1253000000.0,0.0,1582000000.0,3587000000.0,11000000.0,72000000.0,247000000.0,862000000.0,0.2051404093,615000000.0,0.1463588767,-71000000.0,544000000.0,0.1294621609,82000000.0,462000000.0,0.109947644,1.41,1.4
AA,2016,9318000000.0,7898000000.0,1420000000.0,0.15239321742863277,33000000.0,0.0,0.0,1233000000.0,9131000000.0,0.0,243000000.0,718000000.0,745000000.0,0.07995277956643057,187000000.0,0.020068684267010087,-349000000.0,-162000000.0,-0.017385705086928525,184000000.0,-400000000.0,-0.042927666881305004,-2.19,-2.19
AADI,2016,0.0,0.0,0.0,0.0,0.0,29492.0,0.0,29492.0,29492.0,0.0,9942.0,0.0,-29492.0,0.0,-29492.0,0.0,-9942.0,-39434.0,0.0,0.0,-39434.0,0.0,-0.02185109603466386,-0.02185109603466386
AAIC,2016,6796000.0,0.0,0.0,0.0,0.0,20756000.0,0.0,0.0,0.0,105336000.0,29222000.0,0.0,15262000.0,2.2457327839905825,0.0,0.0,0.0,-13960000.0,-2.054149499705709,27387000.0,-41347000.0,-6.0840200117716305,-1.79,-1.79
AAL,2016,40180000000.0,28339000000.0,11841000000.0,0.2946988552,0.0,0.0,1323000000.0,5848000000.0,34187000000.0,63000000.0,991000000.0,1824000000.0,7108000000.0,0.1769039323,5284000000.0,0.131508213,-985000000.0,4299000000.0,0.1069935291,1623000000.0,2676000000.0,0.0666002987,4.85,4.81
AAMC,2016,19991000.0,0.0,19991000.0,1.0,0.0,24314000.0,0.0,24314000.0,24314000.0,0.0,0.0,0.0,-3229000.0,-0.16152268520834376,-4323000.0,-0.21624731129008054,1094000.0,-3229000.0,-0.16152268520834376,1706000.0,-4935000.0,-0.24686108748937022,-2.93,-2.93
AAME,2016,166077000.0,0.0,166077000.0,1.0,0.0,0.0,44797000.0,161000000.0,162553000.0,0.0,1562000.0,1205000.0,6291000.0,0.03788001950902292,3524000.0,0.02121907308055902,0.0,3524000.0,0.02121907308055902,888000.0,2636000.0,0.015872155686819968,0.11,0.11
AAN,2016,3207716000.0,295188000.0,2912528000.0,0.9079756437,0.0,819825000.0,40823000.0,228700000.0,2688831000.0,0.0,23390000.0,1386673000.0,1628485000.0,0.5076774253,241812000.0,0.0753844792,-23390000.0,218422000.0,0.0680926865,79139000.0,139283000.0,0.043421238,1.93,1.91
AAOI,2016,260713000.0,173759000.0,86954000.0,0.3335238365559063,31780000.0,25527000.0,6627000.0,63770000.0,237529000.0,247000.0,1717000.0,14188000.0,36908000.0,0.14156562963872152,23020000.0,0.08829632584489458,-2017000.0,21003000.0,0.0805598493362433,-10231000.0,31234000.0,0.11980223464115713,1.82,1.76
AAON,2016,383977000.0,265897000.0,118080000.0,0.3075184190719757,0.0,35990000.0,1395000.0,38181000.0,304078000.0,292000.0,0.0,13035000.0,93026000.0,0.24226971928006105,79594000.0,0.20728845738156193,-200000.0,79991000.0,0.20832237347549462,26615000.0,53376000.0,0.1390083260195272,1.01,1.0
AAP,2016,9567679000.0,5311764000.0,4255915000.0,0.44482209321612903,0.0,0.0,0.0,3468317000.0,8780081000.0,0.0,59910000.0,258387000.0,1057132000.0,0.11048991087598152,787598000.0,0.08231860621578128,-48763000.0,738835000.0,0.0772219678356684,279213000.0,459622000.0,0.04803902806521833,6.22,6.2
AAPL,2016,215639000000.0,131376000000.0,84263000000.0,0.3907595565,10045000000.0,0.0,0.0,24239000000.0,155615000000.0,3999000000.0,1456000000.0,10505000000.0,70529000000.0,0.3270697787,62567000000.0,0.2901469586,1348000000.0,61372000000.0,0.2846052894,15685000000.0,45687000000.0,0.2118679831,2.09,2.08
AAT,2016,295088000.0,107931000.0,187157000.0,0.6342413110665293,0.0,17897000.0,0.0,89216000.0,197147000.0,72000.0,51936000.0,71319000.0,156406000.0,0.5300317193515155,97941000.0,0.3319043810659871,-51738000.0,46203000.0,0.15657363227240687,566000.0,32585000.0,0.11042468687306838,0.72,0.72
