symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2017,4472000000.0,2063000000.0,2409000000.0,0.5386851521,339000000.0,1229000000.0,0.0,1568000000.0,3631000000.0,22000000.0,79000000.0,253000000.0,1094000000.0,0.2446332737,841000000.0,0.188059034,-38000000.0,803000000.0,0.1795617174,119000000.0,684000000.0,0.1529516995,2.12,2.1
AA,2017,11652000000.0,9072000000.0,2580000000.0,0.22142121524201855,32000000.0,0.0,0.0,1084000000.0,10156000000.0,0.0,104000000.0,752000000.0,1673000000.0,0.14358050120151047,1496000000.0,0.1283899759697906,-337000000.0,1159000000.0,0.09946790250600755,600000000.0,217000000.0,0.01862341228973567,1.18,1.16
AADI,2017,0.0,0.0,0.0,0.0,12147132.0,9241411.0,0.0,21388543.0,21388543.0,0.0,0.0,51268.0,-21349338.0,0.0,-21388543.0,0.0,-12063.0,-21400606.0,0.0,0.0,-21400606.0,0.0,-1.026984649221731,-1.026984649221731
AAIC,2017,75608000.0,0.0,0.0,0.0,0.0,18570000.0,0.0,0.0,0.0,121248000.0,51514000.0,0.0,108552000.0,1.4357210877155857,0.0,0.0,0.0,57038000.0,0.7543910697280711,39603000.0,17435000.0,0.23059729129192677,0.67,0.66
AAL,2017,42207000000.0,31154000000.0,11053000000.0,0.2618759921,0.0,0.0,1477000000.0,6417000000.0,37571000000.0,94000000.0,1053000000.0,2096000000.0,6154000000.0,0.1458051982,4058000000.0,0.0961451892,-974000000.0,3084000000.0,0.0730684484,1165000000.0,1919000000.0,0.0454663918,3.92,3.9
AAMC,2017,18160000.0,0.0,18160000.0,1.0,0.0,25507000.0,0.0,25507000.0,25507000.0,0.0,0.0,302000.0,-5959000.0,-0.32813876651982377,-7347000.0,-0.4045704845814978,1086000.0,-6261000.0,-0.34476872246696033,708000.0,-6969000.0,-0.3837555066079295,-4.57,-4.57
AAME,2017,181114000.0,0.0,181114000.0,1.0,0.0,0.0,43446000.0,174000000.0,175758000.0,0.0,1723000.0,1438000.0,8517000.0,0.047025630266020295,0.0,0.0,123000.0,5356000.0,0.029572534425831243,828000.0,4528000.0,0.02500082820764822,0.2,0.2
AAN,2017,1781902000.0,759302000.0,1022600000.0,0.5738811674,0.0,460606000.0,0.0,843459000.0,1602761000.0,0.0,18151000.0,556964000.0,659339000.0,0.3700197878,102375000.0,0.0574526545,-12735000.0,89640000.0,0.0503057968,-53278000.0,142918000.0,0.0802053087,4.23,4.23
AAOI,2017,382329000.0,216049000.0,166280000.0,0.43491338611509983,35365000.0,35262000.0,8702000.0,79118000.0,295167000.0,221000.0,858000.0,20381000.0,105765000.0,0.27663347535761085,86951000.0,0.22742454796784967,-2425000.0,84526000.0,0.22108184312463872,10575000.0,73951000.0,0.19342241891146106,3.87,3.67
AAON,2017,405232000.0,281835000.0,123397000.0,0.3045095155367789,0.0,45891000.0,1735000.0,48346000.0,330181000.0,298000.0,0.0,15007000.0,89499000.0,0.22085866861452205,74103000.0,0.18286561772021953,-857000.0,74492000.0,0.18382556165357128,19994000.0,54498000.0,0.1344859241126071,1.04,1.03
AAP,2017,9373784000.0,5288735000.0,4085049000.0,0.43579508552789353,0.0,0.0,0.0,3514837000.0,8803572000.0,0.0,58801000.0,249260000.0,828320000.0,0.08836559494010103,570212000.0,0.06083050345516816,-49953000.0,520259000.0,0.055501492246887704,44754000.0,475505000.0,0.05072711297806734,6.44,6.42
AAPL,2017,229234000000.0,141048000000.0,88186000000.0,0.3846986049,11581000000.0,0.0,0.0,26842000000.0,167890000000.0,5201000000.0,2323000000.0,10157000000.0,71501000000.0,0.311912718,61344000000.0,0.2676042821,2745000000.0,64089000000.0,0.2795789455,15738000000.0,48351000000.0,0.2109242085,2.32,2.3
AAT,2017,314983000.0,116677000.0,198306000.0,0.6295768343053435,0.0,21382000.0,0.0,104660000.0,221337000.0,548000.0,53848000.0,83278000.0,166417000.0,0.5283364499036456,93646000.0,0.2973049339170685,-53300000.0,40346000.0,0.12808945244663997,214000.0,29077000.0,0.09231291847496531,0.62,0.62
AB,2017,232393000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232393000.0,1.0,0.0,0.0,0.0,232393000.0,1.0,24971000.0,207422000.0,0.8925483986178585,2.189542,2.189542
ABBV,2017,28216000000.0,7040000000.0,21176000000.0,0.7504961723844628,5309000000.0,6275000000.0,0.0,11584000000.0,18624000000.0,146000000.0,1150000000.0,1501000000.0,10378000000.0,0.3678055004252906,9592000000.0,0.33994896512616957,-1865000000.0,7727000000.0,0.27385171533881486,2418000000.0,5309000000.0,0.1881556563651829,3.334525,3.3
ABC,2017,153143826000.0,148597824000.0,4546002000.0,0.029684526753301826,0.0,0.0,2128730000.0,2526333000.0,151124157000.0,3857000.0,149042000.0,432331000.0,1499260000.0,0.009789882094234736,1060342000.0,0.0069238311964336064,-142455000.0,917887000.0,0.005993627193302589,553403000.0,364484000.0,0.002380011062280761,1.9,1.87
ABCB,2017,361089000.0,0.0,361089000.0,1.0,0.0,150963000.0,5131000.0,0.0,0.0,294347000.0,34222000.0,13128000.0,171632000.0,0.4753177194542066,0.0,0.0,0.0,124282000.0,0.34418661327262806,50734000.0,73548000.0,0.20368385633458788,2.0,1.98
ABEO,2017,837000.0,0.0,0.0,0.0,16989000.0,10943000.0,0.0,28673000.0,28673000.0,525000.0,8000.0,741000.0,-26570000.0,-31.744324970131423,-27836000.0,-33.256869772998805,517000.0,-27319000.0,-32.639187574671446,0.0,-27319000.0,-32.639187574671446,-16.403176693513462,-16.403176693513462
ABG,2017,6456500000.0,5400600000.0,1055900000.0,0.16354061798187872,0.0,0.0,0.0,763100000.0,6163700000.0,0.0,78600000.0,32100000.0,319800000.0,0.04953147990397274,287700000.0,0.04455974599241075,-78600000.0,209100000.0,0.03238596762952064,70000000.0,139100000.0,0.0215441802834353,6.69,6.62
ABIO,2017,0.0,0.0,0.0,0.0,14076000.0,4636000.0,0.0,18712000.0,18712000.0,167000.0,6000.0,356000.0,-18172000.0,0.0,-18712000.0,0.0,161000.0,-18551000.0,0.0,-61000.0,-18473000.0,0.0,-31.859745,-31.859745
ABM,2017,5453600000.0,4881200000.0,572400000.0,0.1049581928,0.0,436600000.0,0.0,5349400000.0,5349400000.0,0.0,19200000.0,76700000.0,178600000.0,0.0327490098,101900000.0,0.0186849054,-15000000.0,86900000.0,0.0159344286,8800000.0,78100000.0,0.0143208156,1.35,1.34
ABNB,2017,2561721000.0,647690000.0,1914031000.0,0.7471660653,400749000.0,327156000.0,871749000.0,1995393000.0,2643083000.0,32102000.0,16403000.0,79342000.0,36646000.0,0.0143052268,-81362000.0,-0.0317606796,6564000.0,-59099000.0,-0.0230700377,10947000.0,-70046000.0,-0.0273433368,-0.134263,-0.134263
ABR,2017,256592000.0,0.0,0.0,0.0,0.0,98799000.0,30738000.0,240000000.0,0.0,156177000.0,90072000.0,54587000.0,231407000.0,0.9018480700879217,0.0,0.0,0.0,110868000.0,0.4320789424455946,13359000.0,73389000.0,0.2860143730124088,1.14,1.12
ABT,2017,27390000000.0,12337000000.0,15053000000.0,0.5495801387367653,2235000000.0,9117000000.0,0.0,13327000000.0,25664000000.0,124000000.0,904000000.0,3021000000.0,6280000000.0,0.22928075940124132,1726000000.0,0.06301569916027748,505000000.0,2231000000.0,0.0814530850675429,1878000000.0,477000000.0,0.01741511500547645,0.273572,0.27
ABUS,2017,10700000.0,62676000.0,-51976000.0,-4.8575700934579435,62676000.0,16129000.0,0.0,80832000.0,143508000.0,1538000.0,261000.0,2027000.0,-106445000.0,-9.948130841121495,-110930000.0,-10.367289719626168,2197000.0,-108733000.0,-10.16196261682243,-24320000.0,-84413000.0,-7.8890654205607476,-1.56,-1.56
ABVC,2017,0.0,0.0,0.0,0.0,3171665.0,967085.0,1735931.0,4138750.0,4138750.0,180.0,103460.0,180.0,-4138570.0,0.0,-4138750.0,0.0,-103280.0,-4242030.0,0.0,830.0,-4242860.0,0.0,-2.49,-2.49
AC,2017,26915000.0,30644000.0,-3729000.0,-0.13854727846925508,0.0,6592000.0,0.0,16657000.0,47301000.0,10501000.0,227000.0,16000.0,6660000.0,0.2474456622701096,-20386000.0,-0.7574215121679361,26650000.0,6264000.0,0.23273267694594094,-2420000.0,8837000.0,0.3283299275496935,0.37,0.37
ACA,2017,1462400000.0,1167700000.0,294700000.0,0.2015180525164114,0.0,163000000.0,0.0,163000000.0,1330700000.0,100000.0,0.0,65700000.0,195800000.0,0.1338894967177243,131700000.0,0.0900574398249453,-1600000.0,130100000.0,0.08896334792122539,40400000.0,89700000.0,0.06133752735229759,1.838,1.838
ACAD,2017,124901000.0,13060000.0,111841000.0,0.8954371862515113,149189000.0,255062000.0,0.0,404251000.0,417311000.0,4126000.0,0.0,2713000.0,-285571000.0,-2.286378812019119,-292410000.0,-2.341134178269189,4126000.0,-288284000.0,-2.308100015212048,1119000.0,-289403000.0,-2.317059110815766,-2.36,-2.36
ACB,2017,18067000.0,2011000.0,16056000.0,0.8886920905518348,314000.0,14397000.0,10270000.0,25697000.0,27708000.0,861000.0,1292000.0,1087000.0,-14885000.0,-0.8238777882326894,-11192000.0,-0.6194719654618919,-6072000.0,-17264000.0,-0.955554325565949,-4296000.0,-12968000.0,-0.7177727348203907,-0.600002,-0.600002
ACCO,2017,1948800000.0,1292400000.0,656400000.0,0.3368226600985222,0.0,0.0,0.0,441700000.0,1734100000.0,5800000.0,41100000.0,71200000.0,270400000.0,0.138752052545156,193000000.0,0.09903530377668308,-34900000.0,158100000.0,0.08112684729064039,26400000.0,131700000.0,0.06758004926108374,1.22,1.19
ACEL,2017,0.0,0.0,0.0,0.0,0.0,376372.0,0.0,376372.0,376372.0,0.0,0.0,0.0,-376372.0,0.0,-376372.0,0.0,0.0,-376372.0,0.0,0.0,-376372.0,0.0,-0.01,-0.01
ACER,2017,0.0,0.0,0.0,0.0,8725026.0,5223101.0,0.0,13948127.0,13948127.0,14848.0,245061.0,2754.0,-13945373.0,0.0,-13948127.0,0.0,-246304.0,-14194431.0,0.0,246304.0,-14440735.0,0.0,-3.91,-3.91
ACET,2017,558524000.0,415739000.0,142785000.0,0.2556470268063682,7937000.0,76820000.0,0.0,84757000.0,500496000.0,0.0,6997000.0,16194000.0,77045000.0,0.13794393795074159,58028000.0,0.10389526681037878,-4174000.0,53854000.0,0.09642199798039118,19088000.0,34766000.0,0.062246206071717596,1.1942974922706973,1.175281430648051
ACGL,2017,5369307000.0,0.0,5369307000.0,1.0,0.0,83752000.0,0.0,0.0,4612030000.0,0.0,117431000.0,125778000.0,990055000.0,0.18439157976997778,0.0,0.0,27682000.0,757277000.0,0.14103812652172804,127568000.0,619278000.0,0.1153366719392279,1.403333,1.356667
ACGLN,2017,5369307000.0,0.0,5369307000.0,1.0,0.0,83752000.0,0.0,0.0,4612030000.0,0.0,117431000.0,125778000.0,990055000.0,0.18439157976997778,0.0,0.0,27682000.0,757277000.0,0.14103812652172804,127568000.0,619278000.0,0.1153366719392279,0.0,0.0
ACGLO,2017,5369307000.0,0.0,5369307000.0,1.0,0.0,83752000.0,0.0,0.0,4612030000.0,0.0,117431000.0,125778000.0,990055000.0,0.18439157976997778,0.0,0.0,27682000.0,757277000.0,0.14103812652172804,127568000.0,619278000.0,0.1153366719392279,1.06,1.06
ACHC,2017,2836316000.0,114439000.0,2721877000.0,0.959652239031194,0.0,1809158000.0,0.0,2283995000.0,2398434000.0,0.0,176007000.0,143010000.0,556061000.0,0.19605044007790387,437882000.0,0.15438406721959047,-201084000.0,236798000.0,0.08348787652715706,37209000.0,199835000.0,0.07045583073254179,2.3,2.3
ACHV,2017,0.0,0.0,0.0,0.0,3101000.0,3531000.0,0.0,6632000.0,6632000.0,21000.0,0.0,-6720000.0,-13352000.0,0.0,-6632000.0,0.0,-7002000.0,-13634000.0,0.0,-3051000.0,-10583000.0,0.0,-441.47,-441.47
