symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
ABCL,2019,11611543.0,0.0,11611543.0,1.0,10112939.0,2748869.0,1262659.0,13954056.0,13954056.0,154957.0,209196.0,3776340.0,-340668.0,-0.0293387365,-4117008.0,-0.3545616633,1906312.0,-2210696.0,-0.1903877891,209196.0,-2419892.0,-0.2084039994,-0.0112,-0.0102
ABEO,2019,0.0,0.0,0.0,0.0,48566000.0,20705000.0,0.0,77090000.0,77090000.0,1208000.0,400000.0,9885000.0,-67205000.0,0.0,-77090000.0,0.0,808000.0,-76282000.0,0.0,400000.0,-76682000.0,0.0,-38.07,-38.07
ABG,2019,7210300000.0,6041400000.0,1168900000.0,0.1621153073,0.0,643300000.0,156500000.0,836800000.0,6878200000.0,0.0,92800000.0,43300000.0,368300000.0,0.0510797054,325000000.0,0.0450744074,-81100000.0,243900000.0,0.0338266092,59500000.0,184400000.0,0.0255745253,9.65,9.55
ABIO,2019,0.0,0.0,0.0,0.0,1833000.0,3981000.0,0.0,5814000.0,5814000.0,172000.0,7000.0,261000.0,-5553000.0,0.0,-5814000.0,0.0,165000.0,-5649000.0,0.0,-167000.0,-5482000.0,0.0,-4.15,-4.15
ABM,2019,6498600000.0,5767500000.0,731100000.0,0.1125011541,0.0,0.0,0.0,6278900000.0,6278900000.0,0.0,51100000.0,72700000.0,281000000.0,0.0432400825,208300000.0,0.0320530576,-48100000.0,160200000.0,0.0246514634,32700000.0,127400000.0,0.0196042224,1.91,1.9
ABNB,2019,4805239000.0,1196313000.0,3608926000.0,0.7510398546,976695000.0,697181000.0,1621519000.0,4110469000.0,5306782000.0,85902000.0,9968000.0,213970000.0,-287573000.0,-0.0598457226,-501543000.0,-0.1043742049,89840000.0,-411703000.0,-0.0856779444,262636000.0,-674339000.0,-0.1403341228,-1.27,-1.27
ABOS,2019,1697000.0,0.0,1697000.0,1.0,8576000.0,926000.0,0.0,9502000.0,9502000.0,45000.0,0.0,147000.0,-7658000.0,-4.5126694166,-7805000.0,-4.5992928698,-102000.0,-7907000.0,-4.6593989393,-45000.0,-7862000.0,-4.6328815557,-0.27,-0.27
ABR,2019,349386000.0,0.0,349386000.0,1.0,0.0,122102000.0,40329000.0,-205722000.0,-205722000.0,315940000.0,186399000.0,7510000.0,151174000.0,0.432684767,143664000.0,0.411189916,26610000.0,170274000.0,0.4873520977,15036000.0,128628000.0,0.3681544195,1.3,1.27
ABSI,2019,2060000.0,0.0,2060000.0,1.0,4311000.0,0.0,0.0,8325000.0,8325000.0,0.0,268000.0,440000.0,-5825000.0,-2.8276699029,-6265000.0,-3.0412621359,-319000.0,-6584000.0,-3.1961165049,217000.0,-6801000.0,-3.3014563107,-0.0753,-0.0753
ABT,2019,31904000000.0,13231000000.0,18673000000.0,0.5852871113,2440000000.0,0.0,0.0,14141000000.0,27372000000.0,94000000.0,576000000.0,2127000000.0,6659000000.0,0.2087199097,4532000000.0,0.1420511535,-455000000.0,4077000000.0,0.1277896189,390000000.0,3687000000.0,0.1155654463,2.09,2.06
