symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2022,6848000000,3126000000,3722000000,0.543516355,467000000,0,0,2104000000,5230000000,9000000,84000000,287000000,1905000000,0.278183411,1618000000,0.236273365,-114000000,1504000000,0.219626168,250000000,1254000000,0.183119159,4.19,4.18
AA,2022,12451000000,10212000000,2239000000,0.179824914,32000000,0,0,853000000,11065000000,0,106000000,617000000,2142000000,0.172034375,1525000000,0.122480122,-802000000,723000000,0.058067625,664000000,59000000,0.004738575,0.33,0.33
AAC,2022,0,0,0,0,0,7342712,0,7342712,7342712,0,-28326302,-28326302,-35669014,0,-7342712,0,28326302,20983590,0,-28326302,49309892,0,0.49,0.49
AACI,2022,0,4391263,-4391263,0,0,111852,0,4503115,4503115,1025942,-1025942,0,-4503115,0,-4503115,0,1025942,-3477173,0,145621,-3622794,0,-0.63,-0.17
AACIW,2022,0,0,0,0,0,111852,0,4503115,4503115,1025942,-1025942,0,-4503115,0,-4503115,0,1025942,-3477173,0,145621,-3622794,0,-0.24,-0.24
AADI,2022,15216000,1335000,13881000,0.912263407,32662000,0,0,72838000,74173000,2398000,230000,2398000,-56559000,-3.717074133,-58957000,-3.874671399,-1556000,-60513000,-3.976932177,-3503000,-57010000,-3.746713985,-2.53,-2.53
AAIC,2022,30532000,0,30532000,1,0,14915000,0,8842000,8842000,43283000,21511000,-2719000,21872000,0.71636316,24591000,0.805417267,-15047000,9544000,0.312590069,4118000,5426000,0.177715184,0.09,0.09
AAIN,2022,43283000,0,43283000,1,0,14915000,0,14915000,14915000,0,103000,-2719000,21872000,0.505325416,24591000,0.568144537,-21975000,2616000,0.060439434,2616000,5426000,0.125360996,0.19,0.19
AAL,2022,48971000000,39934000000,9037000000,0.184537788,0,0,1815000000,7237000000,47171000000,216000000,1962000000,2298000000,2148000000,0.043862694,-150000000,-0.003063037,336000000,186000000,0.003798166,59000000,127000000,0.002593372,0.2,0.19
AAMC,2022,563000,5839000,-5276000,-9.371225577,0,9384000,338000,5784000,11623000,4579000,1328000,440000,-8694000,-15.44227353,-9134000,-16.22380107,-6450000,-15584000,-27.68028419,350000,-15934000,-28.30195382,-8.31,-8.31
