symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2021,6319000000.0,2912000000.0,3407000000.0,0.5391675898,441000000.0,0.0,0.0,2060000000.0,4972000000.0,2000000.0,81000000.0,415000000.0,1762000000.0,0.2788415889,1347000000.0,0.2131666403,13000000.0,1360000000.0,0.2152239278,150000000.0,1210000000.0,0.1914859946,3.98,3.94
AA,2021,12152000000.0,9153000000.0,2999000000.0,0.2467906517,31000000.0,0.0,0.0,922000000.0,10075000000.0,0.0,195000000.0,664000000.0,3186000000.0,0.2621790652,2522000000.0,0.2075378539,-1323000000.0,1199000000.0,0.0986668861,629000000.0,429000000.0,0.0353028308,2.3,2.26
AAC,2021,0.0,0.0,0.0,0.0,0.0,6461616.0,0.0,6461616.0,6461616.0,0.0,0.0,-23988206.0,-30449822.0,0.0,-6461616.0,0.0,22310688.0,15849072.0,0.0,1677518.0,15849072.0,0.0,0.13,0.13
AACI,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-469951.0,-469951.0,0.0,0.0,45658.0,-423241.0,0.0,-469951.0,0.0,1052.0,-468899.0,0.0,1052.0,-468899.0,0.0,-0.0226,-0.0226
AACIW,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-468899.0,-468899.0,0.0,0.0,45658.0,-423241.0,0.0,-468899.0,0.0,0.0,-468899.0,0.0,0.0,-468899.0,0.0,-0.0226,-0.0226
AADI,2021,1000000.0,0.0,1000000.0,1.0,19670000.0,18511000.0,0.0,38061000.0,38061000.0,13000.0,665000.0,75754000.0,-35463000.0,-35.463,-111217000.0,-111.217,1129000.0,-110088000.0,-110.088,2000.0,-110090000.0,-110.09,-12.34,-12.34
AAIC,2021,4384000.0,0.0,4384000.0,1.0,0.0,12333000.0,0.0,11704000.0,11704000.0,25530000.0,8206000.0,0.0,-7949000.0,-1.8131843066,-7949000.0,-1.8131843066,0.0,-7949000.0,-1.8131843066,1566000.0,-9515000.0,-2.1703923358,-0.29,-0.29
AAL,2021,29882000000.0,29855000000.0,27000000.0,0.000903554,0.0,0.0,1098000000.0,5092000000.0,34947000000.0,18000000.0,1800000000.0,4317000000.0,-748000000.0,-0.0250317917,-5065000000.0,-0.1695000335,2517000000.0,-2548000000.0,-0.0852687236,-555000000.0,-1993000000.0,-0.0666956696,-3.09,-3.09
AAMC,2021,0.0,5635000.0,-5635000.0,0.0,0.0,11049000.0,0.0,11049000.0,16684000.0,60000.0,60000.0,448000.0,-16530000.0,0.0,-16978000.0,0.0,8034000.0,-8944000.0,0.0,3273000.0,-12217000.0,0.0,-6.1,-5.65
AAME,2021,199554000.0,0.0,199554000.0,1.0,0.0,0.0,0.0,-194265000.0,194252000.0,0.0,1387000.0,1003000.0,6292000.0,0.0315303126,5289000.0,0.0265041042,13000.0,5302000.0,0.0265692494,1021000.0,4281000.0,0.0214528398,0.19,0.19
AAN,2021,1845504000.0,686015000.0,1159489000.0,0.6282776954,0.0,495411000.0,53651000.0,929902000.0,1615917000.0,0.0,1460000.0,593842000.0,825010000.0,0.447037774,231168000.0,0.1252600916,-85298000.0,145870000.0,0.079040739,35936000.0,109934000.0,0.0595685515,3.33,3.26
AAOI,2021,211565000.0,173850000.0,37715000.0,0.1782667265,41220000.0,42362000.0,10899000.0,94481000.0,268331000.0,70000.0,5619000.0,7770000.0,-48996000.0,-0.2315884007,-56766000.0,-0.2683147023,2606000.0,-54160000.0,-0.2559969749,2000.0,-54162000.0,-0.2560064283,-2.01,-2.01
AAON,2021,534517000.0,396687000.0,137830000.0,0.2578589643,0.0,63320000.0,1616000.0,68598000.0,465285000.0,0.0,132000.0,30456000.0,99709000.0,0.186540372,69253000.0,0.1295618287,-71000.0,69182000.0,0.1294289985,10424000.0,58758000.0,0.1099272801,1.12,1.09
AAPL,2021,365817000000.0,212981000000.0,152836000000.0,0.4177935963,21914000000.0,0.0,0.0,43887000000.0,256868000000.0,2843000000.0,2645000000.0,11284000000.0,120233000000.0,0.3286697994,108949000000.0,0.2978237753,258000000.0,109207000000.0,0.2985290459,14527000000.0,94680000000.0,0.2588179336,5.67,5.61
AAT,2021,375828000.0,129774000.0,246054000.0,0.6546984259,0.0,29879000.0,0.0,146185000.0,275959000.0,324000.0,58587000.0,115888000.0,215757000.0,0.5740844216,99869000.0,0.2657306002,-63276000.0,36593000.0,0.0973663484,738000.0,36593000.0,0.0973663484,0.47,0.47
AB,2021,416326000.0,0.0,416326000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416326000.0,1.0,416326000.0,1.0,0.0,416326000.0,1.0,30484000.0,385842000.0,0.9267785341,3.88,3.88
ABBV,2021,56197000000.0,17446000000.0,38751000000.0,0.689556382,7084000000.0,0.0,0.0,19865000000.0,37311000000.0,39000000.0,2384000000.0,8521000000.0,16386000000.0,0.2915814011,7865000000.0,0.1399540901,5124000000.0,12989000000.0,0.2311333345,1440000000.0,11542000000.0,0.2053846291,6.48,6.45
ABC,2021,213988843000.0,207045615000.0,6943228000.0,0.0324466823,0.0,0.0,0.0,4099423000.0,211145038000.0,8470000.0,182544000.0,1054600000.0,3408797000.0,0.0159297885,2354197000.0,0.0110014941,-132338000.0,2221859000.0,0.01038306,677251000.0,1539932000.0,0.0071963191,7.48,7.39
ABCB,2021,1017333000.0,0.0,1017333000.0,1.0,0.0,337776000.0,8434000.0,-521221000.0,-521221000.0,703112000.0,47785000.0,14965000.0,511077000.0,0.5023694307,496112000.0,0.4876593996,0.0,496112000.0,0.4876593996,119199000.0,376913000.0,0.3704912747,5.43,5.4
ABCL,2021,375203000.0,45516000.0,329687000.0,0.8786896693,62062000.0,41848000.0,6913000.0,107788000.0,153304000.0,3330000.0,5225000.0,38066000.0,242479000.0,0.6462608241,204413000.0,0.5448064115,14736000.0,219149000.0,0.5840811507,65685000.0,153464000.0,0.4090159194,0.56,0.48
ABEO,2021,3000000.0,0.0,3000000.0,1.0,34325000.0,22795000.0,0.0,60370000.0,60370000.0,69000.0,3670000.0,35785000.0,-54051000.0,-18.017,-89836000.0,-29.9453333333,4900000.0,-84936000.0,-28.312,3670000.0,-88606000.0,-29.5353333333,-22.5,-22.5
ABG,2021,9837700000.0,7935500000.0,1902200000.0,0.1933582036,0.0,852400000.0,221500000.0,1110400000.0,9045900000.0,0.0,102100000.0,41900000.0,833700000.0,0.0847454181,791800000.0,0.0804862925,-94100000.0,697700000.0,0.0709210486,165300000.0,532400000.0,0.0541183407,26.75,26.49
ABIO,2021,0.0,0.0,0.0,0.0,13832000.0,5503000.0,0.0,19335000.0,19335000.0,13000.0,0.0,13000.0,-19322000.0,0.0,-19335000.0,0.0,13000.0,-19322000.0,0.0,-91000.0,-19231000.0,0.0,-1.38,-1.38
ABM,2021,6228600000.0,0.0,6228600000.0,1.0,0.0,0.0,0.0,6022400000.0,6022400000.0,0.0,28600000.0,47100000.0,253400000.0,0.0406832996,206300000.0,0.0331214077,-26500000.0,179800000.0,0.0288668401,53500000.0,126300000.0,0.0202774299,1.87,1.86
