symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
A,2015,4038000000.0,1997000000.0,2041000000.0,0.5054482417,330000000.0,1189000000.0,0.0,1519000000.0,3516000000.0,7000000.0,66000000.0,277000000.0,799000000.0,0.1978702328,522000000.0,0.1292719168,-42000000.0,480000000.0,0.1188707281,42000000.0,401000000.0,0.0993065874,1.2,1.19
AA,2015,11199000000.0,9039000000.0,2160000000.0,0.19287436378248057,69000000.0,0.0,0.0,1202000000.0,10241000000.0,0.0,270000000.0,780000000.0,589000000.0,0.05259398160550049,958000000.0,0.08554335208500759,-1295000000.0,-337000000.0,-0.030091972497544424,402000000.0,-863000000.0,-0.07706045182605589,-3.3,-3.3
AADI,2015,0.0,0.0,0.0,0.0,0.0,23006.0,0.0,23006.0,23006.0,0.0,8434.0,0.0,-23006.0,0.0,-23006.0,0.0,-8434.0,-31440.0,0.0,0.0,-31440.0,0.0,-0.017421475359583907,-0.017421475359583907
AAIC,2015,154593000.0,0.0,0.0,0.0,0.0,9719000.0,0.0,0.0,0.0,154593000.0,18889000.0,0.0,-11953000.0,-0.7168215892053973,0.0,0.0,0.0,-30842000.0,-1.8495952023988007,38561000.0,-69403000.0,-4.162098950524737,-3.02,-3.02
AAL,2015,40990000000.0,27967000000.0,13023000000.0,0.317711637,0.0,0.0,1394000000.0,5768000000.0,33735000000.0,39000000.0,880000000.0,901000000.0,7105000000.0,0.1733349597,6204000000.0,0.1513539888,-1588000000.0,4616000000.0,0.1126128324,-2994000000.0,7610000000.0,0.1856550378,11.39,11.07
AAMC,2015,248099000.0,62346000.0,185753000.0,0.7487051539909472,0.0,99162000.0,72230000.0,178864000.0,241210000.0,612000.0,53131000.0,7472000.0,57667000.0,0.23243543907875486,-48534000.0,-0.1956235212556278,0.0,-48534000.0,-0.1956235212556278,354000.0,-3290000.0,-0.013260835392323226,-1.59,-1.59
AAME,2015,165937000.0,0.0,165937000.0,1.0,0.0,0.0,43235000.0,159000000.0,160229000.0,0.0,1429000.0,1117000.0,8254000.0,0.04974176946672532,5708000.0,0.034398597057919575,0.0,5708000.0,0.034398597057919575,1320000.0,4388000.0,0.026443770828687995,0.19,0.19
AAN,2015,3179756000.0,372817000.0,2806939000.0,0.8827529534,0.0,828484000.0,39334000.0,230648000.0,2683927000.0,0.0,23339000.0,1292847000.0,1529306000.0,0.4809507396,236459000.0,0.074363882,-23339000.0,213120000.0,0.0670240106,77411000.0,135709000.0,0.0426790609,1.87,1.86
AAOI,2015,189903000.0,129450000.0,60453000.0,0.31833620321953837,20852000.0,19771000.0,6381000.0,46787000.0,176237000.0,328000.0,1018000.0,9424000.0,21610000.0,0.11379493741541734,13449000.0,0.07082036618694808,-2281000.0,11168000.0,0.058808970895667785,375000.0,10793000.0,0.05683427855273482,0.69,0.65
AAON,2015,358632000.0,249951000.0,108681000.0,0.30304323094425484,0.0,34865000.0,1191000.0,36986000.0,286937000.0,161000.0,0.0,11741000.0,83080000.0,0.23165807847598652,71302000.0,0.19881661424524302,-517000.0,71339000.0,0.19891978406834862,25611000.0,45728000.0,0.12750674786410582,0.85,0.84
AAP,2015,9737018000.0,5314246000.0,4422772000.0,0.4542224323709785,0.0,0.0,0.0,3596992000.0,8911238000.0,0.0,65408000.0,269476000.0,1087772000.0,0.11171510620602734,825780000.0,0.08480830578725437,-72892000.0,752888000.0,0.07732223561669496,279490000.0,473398000.0,0.04861837576966582,6.45,6.4
AAPL,2015,233715000000.0,140089000000.0,93626000000.0,0.4005990202,8067000000.0,0.0,0.0,22396000000.0,162485000000.0,2921000000.0,733000000.0,11257000000.0,82487000000.0,0.3529384079,71230000000.0,0.3047729072,1285000000.0,72515000000.0,0.3102710566,19121000000.0,53394000000.0,0.228457737,2.32,2.31
AAT,2015,275623000.0,98006000.0,177617000.0,0.6444200955653193,0.0,20074000.0,0.0,83466000.0,181472000.0,90000.0,47260000.0,63392000.0,149456000.0,0.5422479256085305,94151000.0,0.3415934083875439,-39941000.0,54210000.0,0.19668169927763648,295000.0,38509000.0,0.1397162065575079,0.87,0.86
