symbol,year,E,S,G,ESG
A,2016,63.277499999999996,60.91,67.3725,63.855000000000004
AA,2016,68.79499999999999,67.255,64.74000000000001,66.93
AADI,2016,56.925,46.67,64.27499999999999,55.957499999999996
AAIC,2016,78.6375,76.32750000000001,71.6375,75.535
AAIN,2016,78.6375,76.32750000000001,71.6375,75.535
AAL,2016,57.0225,57.07,63.6675,59.255
AAMC,2016,51.21,62.2975,69.365,60.957499999999996
AAME,2016,42.029999999999994,56.75,64.16499999999999,54.315
AAOI,2016,53.464999999999996,57.3525,59.107499999999995,56.645
AAON,2016,51.45,67.25,67.59249999999999,62.097500000000004
AAP,2016,68.402,56.622,68.028,64.35
AAPL,2016,55.2,49.795,62.315,55.7675
AAT,2016,63.9675,57.970000000000006,75.3425,65.75999999999999
AB,2016,49.667500000000004,45.059999999999995,66.7925,53.834999999999994
ABBV,2016,69.26,73.5275,63.5325,68.77499999999999
ABC,2016,69.285,70.33,66.34,68.65
ABCB,2016,56.25,68.4025,65.855,63.5025
ABEO,2016,69.83000000000001,73.945,59.65,67.8075
ABG,2016,73.71000000000001,74.57,55.53999999999999,67.9425
ABIO,2016,55.7125,56.105000000000004,58.44,56.75
ABM,2016,82.89000000000001,51.5675,63.7825,66.08
ABR,2016,60.9575,71.1575,70.02,67.38
ABT,2016,64.83749999999999,69.215,71.71000000000001,68.58500000000001
ABUS,2016,65.28999999999999,65.9025,71.86000000000001,67.685
ABVC,2016,46.849999999999994,72.7975,65.1725,61.605000000000004
AC,2016,78.335,54.8525,69.15,67.44500000000001
ACAD,2016,59.1675,51.72500000000001,62.0,57.629999999999995
ACCO,2016,69.84,71.04749999999999,67.2875,69.3925
ACER,2016,65.81500000000001,62.305,58.71,62.28
ACGL,2016,60.557500000000005,63.025,58.505,60.697500000000005
ACGLN,2016,60.557500000000005,63.025,58.505,60.697500000000005
ACGLO,2016,60.557500000000005,63.025,58.505,60.697500000000005
ACHC,2016,48.46,62.17,59.802499999999995,56.81
ACHV,2016,56.974999999999994,63.87,58.70250000000001,59.847500000000004
ACIW,2016,71.1125,63.9075,63.91,66.3075
ACLS,2016,54.6625,59.0375,62.1175,58.605000000000004
ACM,2016,56.872,52.35799999999999,56.774,55.334
ACN,2016,63.355000000000004,52.03,65.3075,60.230000000000004
ACNB,2016,55.915000000000006,70.8,57.3025,61.3375
ACOR,2016,54.00749999999999,60.7,64.3475,59.6875
ACR,2016,60.5725,57.215,70.6425,62.81
ACRE,2016,68.2475,70.57249999999999,69.79,69.535
ACRS,2016,56.565,74.47999999999999,67.72500000000001,66.255
ACRX,2016,56.275,58.3525,61.0625,58.5625
ACST,2016,64.93,65.44,63.13,64.5
ACTG,2016,62.3625,58.435,62.650000000000006,61.1475
ACU,2016,60.497499999999995,69.9725,64.08500000000001,64.85
ADAP,2016,57.26,63.682500000000005,61.5125,60.817499999999995
ADBE,2016,65.5725,72.03750000000001,60.6125,66.075
ADC,2016,69.07,72.3875,59.9075,67.12
ADES,2016,65.92750000000001,66.0825,69.88250000000001,67.29750000000001
ADI,2016,57.29,58.3325,67.3325,60.985
ADM,2016,64.2,51.6075,65.28,60.3625
ADMA,2016,54.495000000000005,69.695,62.1425,62.1075
ADMP,2016,50.4225,71.345,66.42,62.73
ADNT,2016,73.89,69.715,68.755,70.785
ADP,2016,75.7575,69.9325,65.69000000000001,70.46
ADSK,2016,70.8175,65.9975,62.965,66.595
ADTN,2016,54.3,65.525,62.4475,60.7575
ADUS,2016,67.22,66.1825,65.2775,66.2275
ADVM,2016,44.895,68.8325,60.205,57.980000000000004
AE,2016,61.955,50.190000000000005,54.4925,55.55
AEE,2016,71.10249999999999,66.86999999999999,62.7675,66.9125
AEHR,2016,48.3425,62.019999999999996,57.512499999999996,55.957499999999996
AEIS,2016,74.3125,42.3725,62.152499999999996,59.612500000000004
AEL,2016,71.73,70.35000000000001,63.92750000000001,68.6675
AEMD,2016,62.7025,61.9175,68.38499999999999,64.33500000000001
AEO,2016,80.13499999999999,63.1025,61.5925,68.2775
AEP,2016,65.83,62.1175,59.87,62.605000000000004
AEPPZ,2016,65.83,62.1175,59.87,62.605000000000004
AES,2016,63.26,57.839999999999996,64.6275,61.91250000000001
AESC,2016,63.26,57.839999999999996,64.6275,61.91250000000001
AEY,2016,59.94,66.29666666666667,66.67666666666666,64.3
AEYE,2016,62.64000000000001,60.48,67.915,63.68
AFG,2016,63.8025,50.895,64.81,59.83500000000001
AFGB,2016,63.8025,50.895,64.81,59.83500000000001
AFGC,2016,63.8025,50.895,64.81,59.83500000000001
AFGD,2016,63.8025,50.895,64.81,59.83500000000001
AFGE,2016,63.8025,50.895,64.81,59.83500000000001
AFL,2016,66.2125,66.32,66.515,66.3475
AGCO,2016,61.575,77.6525,66.39750000000001,68.54249999999999
AGEN,2016,59.00750000000001,61.9625,63.1,61.3525
AGIO,2016,56.045,63.675,62.2525,60.660000000000004
AGLE,2016,46.910000000000004,62.9075,59.605000000000004,56.4725
AGM,2016,71.3475,74.1775,67.0175,70.845
AGNC,2016,64.925,84.0675,68.84,72.615
AGNCM,2016,64.925,84.0675,68.84,72.615
AGNCN,2016,64.925,84.0675,68.84,72.615
AGNCO,2016,64.925,84.0675,68.84,72.615
AGNCP,2016,64.925,84.0675,68.84,72.615
AGO,2016,63.9,60.989999999999995,67.745,64.21000000000001
AGR,2016,68.27250000000001,60.61750000000001,61.635,63.504999999999995
AGRX,2016,59.815,64.18249999999999,58.817499999999995,60.9375
AGS,2016,53.2825,67.065,67.0925,62.477500000000006
AGX,2016,72.28,52.22,60.862500000000004,61.785
AGYS,2016,69.92250000000001,62.92,65.9325,66.25750000000001
AHH,2016,65.5875,70.5575,60.587500000000006,65.5775
AHT,2016,69.2,58.1475,69.83500000000001,65.7275
AIC,2016,78.6375,76.32750000000001,71.6375,75.535
AIG,2016,63.00999999999999,38.76499999999999,56.052499999999995,52.6075
AIM,2016,64.145,68.905,64.9375,65.9925
AIMD,2016,64.9725,66.9625,60.9525,64.295
AIN,2016,67.79,55.38999999999999,66.52499999999999,63.235
AINC,2016,51.1575,78.205,71.615,66.99
AIR,2016,52.3875,57.215,60.08,56.557500000000005
AIRG,2016,57.11333333333334,72.82666666666667,60.39333333333334,63.44
AIRI,2016,55.535,66.485,66.4375,62.8175
AIRT,2016,65.41499999999999,70.3975,65.00750000000001,66.9375
AIT,2016,77.36749999999999,82.13250000000001,69.33,76.2775
AIV,2016,50.33250000000001,61.3225,69.17,60.275
AIZ,2016,63.8875,66.235,68.6975,66.27250000000001
AIZN,2016,63.8875,66.235,68.6975,66.27250000000001
AJG,2016,73.29249999999999,64.745,65.5725,67.87
AJX,2016,74.10499999999999,56.8925,70.8075,67.2675
AJXA,2016,74.10499999999999,56.8925,70.8075,67.2675
AKAM,2016,58.025,58.96,65.7875,60.925000000000004
AKBA,2016,56.4975,57.58,65.57,59.8825
AKR,2016,29.9075,72.565,74.07,58.845
AKTS,2016,63.400000000000006,66.25,69.5325,66.39500000000001
AL,2016,60.35249999999999,52.235,63.685,58.7575
ALB,2016,77.3625,76.55499999999999,70.03999999999999,74.6525
ALCO,2016,60.197500000000005,73.83500000000001,65.12,66.385
ALDX,2016,49.825,49.230000000000004,61.709999999999994,53.589999999999996
ALE,2016,69.45,69.5925,67.235,68.75999999999999
ALEX,2016,60.099999999999994,45.8025,69.72749999999999,58.542500000000004
ALG,2016,65.055,46.9725,59.015,57.015
ALGN,2016,57.205000000000005,49.88,67.42999999999999,58.1725
ALGT,2016,58.7775,65.1075,69.57,64.485
ALIM,2016,58.0075,60.4975,61.935,60.147499999999994
ALK,2016,63.17,70.85000000000001,63.5825,65.86749999999999
ALKS,2016,62.655,79.7825,61.625,68.0175
ALL,2016,57.877500000000005,53.715,62.4025,58.0
ALLE,2016,74.2625,73.7575,66.74000000000001,71.58500000000001
ALLY,2016,63.165000000000006,70.1175,54.57,62.61750000000001
ALNY,2016,58.7275,59.4275,65.36,61.1725
ALOT,2016,65.525,53.292500000000004,71.255,63.355
ALPN,2016,54.1325,47.8125,56.5475,52.832499999999996
ALPP,2016,71.74249999999999,71.295,63.620000000000005,68.88999999999999
ALRM,2016,64.79,64.4925,65.095,64.795
ALSN,2016,49.8175,63.215,64.10749999999999,59.045
ALT,2016,60.427499999999995,62.252500000000005,64.805,62.495
ALTO,2016,62.9925,45.9425,58.8625,55.935
ALV,2016,79.185,50.529999999999994,58.36,62.69499999999999
ALX,2016,49.7875,55.7325,62.2275,55.9175
AMAT,2016,67.995,65.74,64.485,66.07249999999999
AMBA,2016,62.407500000000006,54.144999999999996,60.98500000000001,59.1825
AMBC,2016,64.04249999999999,72.4625,66.1,67.5325
AMC,2016,54.347500000000004,67.9,67.9925,63.412499999999994
AMCX,2016,52.7825,70.775,71.07499999999999,64.8775
AMD,2016,56.88,56.887499999999996,62.845,58.870000000000005
AME,2016,61.67750000000001,72.1575,62.0225,65.285
AMED,2016,71.96000000000001,62.095,69.255,67.77
AMEH,2016,62.977500000000006,75.25,68.875,69.0325
AMG,2016,64.665,56.917500000000004,71.725,64.4375
AMGN,2016,73.28999999999999,64.4225,68.8625,68.85750000000002
AMH,2016,65.89999999999999,69.52,67.81500000000001,67.745
AMKR,2016,52.760000000000005,57.07,60.974999999999994,56.935
AMN,2016,61.7075,71.945,67.275,66.97749999999999
AMNB,2016,70.26249999999999,67.6525,67.0825,68.33749999999999
AMOT,2016,57.425,67.93,69.4525,64.935
AMP,2016,66.745,67.5025,64.93,66.39250000000001
AMPE,2016,57.96000000000001,62.6275,62.165,60.915
AMPG,2016,52.845,53.739999999999995,60.4525,55.6775
AMPGW,2016,52.845,53.739999999999995,60.4525,55.6775
AMPH,2016,58.03,63.0975,61.162499999999994,60.762499999999996
AMPY,2016,72.1375,76.575,63.074999999999996,70.595
AMRC,2016,80.995,75.375,66.04249999999999,74.1375
AMRK,2016,65.60249999999999,72.645,67.065,68.43499999999999
AMRN,2016,58.199999999999996,66.4825,65.205,63.292500000000004
AMRS,2016,64.2825,66.54249999999999,63.1,64.64249999999998
AMS,2016,62.5275,58.099999999999994,69.44,63.355000000000004
AMSC,2016,75.79249999999999,57.4525,64.135,65.7925
AMSF,2016,50.7475,41.769999999999996,59.33,50.614999999999995
AMSWA,2016,58.707499999999996,75.5825,63.3975,65.89750000000001
AMT,2016,67.8775,67.035,70.2325,68.38
AMTX,2016,61.910000000000004,53.86000000000001,62.73,59.4975
AMWD,2016,59.72749999999999,76.9325,62.535000000000004,66.3975
AMZN,2016,57.379999999999995,57.7575,64.67,59.935
AN,2016,69.515,71.915,68.8475,70.0975
ANAB,2016,59.65,63.67,59.85,61.06
ANDE,2016,51.755,65.9175,63.897499999999994,60.5225
ANET,2016,54.075,59.79,61.622499999999995,58.495000000000005
ANF,2016,66.58500000000001,52.177499999999995,61.660000000000004,60.14
ANGO,2016,70.91,67.41,62.417500000000004,66.91
ANIK,2016,57.35249999999999,54.7925,65.22999999999999,59.125
ANIP,2016,62.935,69.955,69.6475,67.51249999999999
ANIX,2016,55.92,79.3325,66.8225,67.355
ANSS,2016,69.8275,61.480000000000004,69.87,67.06
AON,2016,54.165,69.60499999999999,70.35749999999999,64.71
AORT,2016,57.2175,63.5975,62.972500000000004,61.2625
AOS,2016,60.73,60.4425,70.795,63.9875
AOSL,2016,69.455,58.620000000000005,72.61500000000001,66.89500000000001
AP,2016,61.3825,68.47749999999999,69.905,66.5875
APAM,2016,56.1425,75.935,71.125,67.7325
APD,2016,61.434999999999995,60.0775,63.68,61.732499999999995
APDN,2016,57.095,70.94500000000001,64.17750000000001,64.07
APEI,2016,50.47,61.462500000000006,58.905,56.942499999999995
APH,2016,69.71,84.2525,67.3475,73.77
APLE,2016,59.5425,67.36,72.31750000000001,66.405
APOG,2016,54.805,55.5725,60.7,57.027499999999996
APPF,2016,64.7075,75.1425,64.94500000000001,68.27000000000001
APPS,2016,75.1775,63.9975,59.68000000000001,66.28750000000001
APT,2016,51.7375,63.4225,60.67,58.61
APTO,2016,57.5,63.36,65.22,62.03
APTV,2016,72.6925,69.065,78.315,73.3575
APVO,2016,64.34666666666666,60.166666666666664,57.88999999999999,60.803333333333335
APYX,2016,57.625,60.0125,67.4725,61.705
AQB,2016,66.35,63.53,68.98,66.29
AQMS,2016,57.237500000000004,66.44250000000001,64.575,62.755
AR,2016,70.2125,57.7825,68.1575,65.385
ARAV,2016,53.3925,63.7325,64.2275,60.4525
ARAY,2016,62.74250000000001,72.94,59.5375,65.075
ARC,2016,37.6075,60.792500000000004,62.057500000000005,53.485
ARCB,2016,58.795,75.385,60.095,64.76
ARCC,2016,68.6125,66.3975,75.2,70.0675
ARCH,2016,59.7575,72.2525,60.355,64.12
ARDX,2016,48.88,61.897499999999994,61.435,57.405
ARE,2016,65.64,66.5875,67.9825,66.735
AREB,2016,55.915,66.4975,63.59,62.0
AREBW,2016,55.915,66.4975,63.59,62.0
AREC,2016,72.3975,66.6775,63.732499999999995,67.6025
AREN,2016,54.155,63.057500000000005,62.2825,59.830000000000005
ARES,2016,70.16250000000001,64.8475,65.8875,66.9675
ARGD,2016,46.457499999999996,25.9375,62.75750000000001,45.052499999999995
ARGO,2016,46.457499999999996,25.9375,62.75750000000001,45.052499999999995
ARI,2016,76.825,59.3075,73.33749999999999,69.82
ARKR,2016,56.616,49.376,66.522,57.50600000000001
ARL,2016,64.035,64.8,65.05250000000001,64.6275
ARLP,2016,58.105,73.5625,67.2325,66.3
ARMK,2016,56.908,84.394,57.318000000000005,66.21000000000001
ARMP,2016,58.695,53.5525,64.2475,58.8275
AROC,2016,71.93,71.035,58.1625,67.03999999999999
AROW,2016,59.57000000000001,64.0925,65.72999999999999,63.13249999999999
ARR,2016,45.15,65.345,68.5175,59.6725
ARTL,2016,52.135,37.477500000000006,57.75750000000001,49.125
ARTNA,2016,62.504999999999995,64.27250000000001,56.4375,61.072500000000005
ARTW,2016,71.395,48.905,66.18249999999999,62.1625
ARW,2016,77.60000000000001,67.015,58.135,67.58250000000001
ARWR,2016,56.765,66.5,66.0025,63.0875
ASB,2016,71.07,74.62,61.762499999999996,69.15
ASGN,2016,76.37249999999999,72.2,61.0125,69.86
ASH,2016,64.78999999999999,56.504999999999995,69.275,63.525000000000006
ASIX,2016,63.66,59.485,61.42,61.525
ASMB,2016,58.98,58.4875,62.614999999999995,60.027499999999996
ASPN,2016,65.6825,65.14500000000001,67.7625,66.1975
ASPS,2016,69.275,74.70250000000001,70.32249999999999,71.435
ASRV,2016,70.2675,71.5275,65.74249999999999,69.17750000000001
ASTC,2016,54.765,58.3725,66.97,60.035000000000004
ASTE,2016,66.82499999999999,70.40249999999999,53.63,63.61750000000001
ASTI,2016,72.36,63.4225,70.455,68.7475
ASUR,2016,52.5975,80.98249999999999,72.705,68.76
ASXC,2016,55.2825,66.36500000000001,68.35749999999999,63.334999999999994
ASYS,2016,55.262499999999996,55.14,64.82,58.4075
ATEC,2016,51.5275,69.655,60.537499999999994,60.5725
ATEN,2016,58.36000000000001,54.385,67.86000000000001,60.20249999999999
ATEX,2016,62.215,77.8975,57.872499999999995,65.9975
ATGE,2016,67.4125,60.47500000000001,60.3025,62.7275
ATHE,2016,61.59,64.87,64.4,63.62
ATHX,2016,49.8875,65.63250000000001,64.5075,60.01249999999999
ATI,2016,68.53500000000001,66.58000000000001,58.707499999999996,64.6075
ATKR,2016,43.50666666666667,81.17666666666666,67.64,64.10666666666667
ATLC,2016,57.47,69.45750000000001,66.8375,64.5875
ATLCL,2016,57.47,69.45750000000001,66.8375,64.5875
ATLCP,2016,57.47,69.45750000000001,66.8375,64.5875
ATLO,2016,63.114999999999995,65.1575,63.7275,64.00000000000001
ATNI,2016,77.11749999999999,61.44,66.9425,68.5
ATNM,2016,55.935,51.855,60.6825,56.155
ATO,2016,79.22000000000001,60.53500000000001,67.4475,69.065
ATOM,2016,78.06,58.116666666666674,64.32333333333334,66.83333333333333
ATOS,2016,50.895,50.79,56.42,52.70249999999999
ATR,2016,59.985,68.005,63.45,63.8125
ATRA,2016,48.835,59.825,61.739999999999995,56.800000000000004
ATRC,2016,61.339999999999996,70.4125,64.0725,65.275
ATRI,2016,75.66499999999999,58.2125,64.4925,66.1225
ATRO,2016,52.725,74.60249999999999,57.557500000000005,61.6275
ATSG,2016,63.015,70.495,67.3375,66.95
ATVI,2016,63.515,73.35499999999999,60.11,65.66
ATXG,2016,55.625,53.445,58.0525,55.707499999999996
ATXS,2016,53.605000000000004,62.03,65.63749999999999,60.425000000000004
AUB,2016,61.43,67.9675,68.78,66.06
AUBN,2016,58.5275,61.46,57.6775,59.22
AUID,2016,56.8675,80.4875,71.1625,69.5025
AUMN,2016,63.57,55.332499999999996,64.9,61.2675
AUPH,2016,50.0,50.0,58.72,52.91
AVA,2016,72.11,74.5025,66.2225,70.945
AVAV,2016,61.6375,62.36750000000001,62.447500000000005,62.152499999999996
AVB,2016,65.22500000000001,65.8175,70.66,67.2325
AVD,2016,65.43249999999999,28.4125,64.3,52.7125
AVDL,2016,68.6825,58.08,63.5475,63.435
AVGR,2016,58.945,58.227500000000006,57.6025,58.2575
AVID,2016,80.42500000000001,65.04249999999999,68.425,71.295
AVNS,2016,70.685,59.5525,61.43,63.89
AVNT,2016,63.8775,76.2475,67.8125,69.315
AVNW,2016,80.50999999999999,73.648,59.17999999999999,71.11200000000001
AVT,2016,64.46000000000001,68.59599999999999,65.088,66.046
AVTX,2016,65.6975,52.222500000000004,66.21000000000001,61.3775
AVXL,2016,52.95249999999999,43.9975,59.4725,52.1425
AVY,2016,59.638,61.282000000000004,66.676,62.532
AWH,2016,49.18,67.705,58.335,58.405
AWI,2016,67.7025,69.95500000000001,60.975,66.21
AWK,2016,59.0625,51.6175,64.595,58.425
AWR,2016,57.355000000000004,64.6825,63.792500000000004,61.945
AWRE,2016,66.47,70.79249999999999,66.9975,68.08500000000001
AWX,2016,42.375,61.8575,56.8625,53.697500000000005
AX,2016,63.127500000000005,58.332499999999996,62.8575,61.4375
AXDX,2016,56.645,72.4675,69.4175,66.175
AXGN,2016,75.85499999999999,70.8775,65.65,70.8
AXL,2016,58.835,82.51,69.19500000000001,70.17750000000001
AXON,2016,69.6825,45.06999999999999,66.765,60.505
AXP,2016,63.68000000000001,70.2775,64.2925,66.0825
AXR,2016,55.22,59.402499999999996,59.5525,58.059999999999995
AXS,2016,56.0025,42.405,63.99250000000001,54.135
AXSM,2016,59.975,55.6725,60.175,58.61
AXTA,2016,69.86500000000001,70.1475,70.0475,70.02
AXTI,2016,49.08,52.7725,65.455,55.769999999999996
AYI,2016,83.84,78.85499999999999,66.67500000000001,76.45499999999998
AYRO,2016,65.0175,71.97250000000001,59.5625,65.51499999999999
AYTU,2016,69.28,64.8075,66.285,66.7925
AZO,2016,44.8075,65.0,61.75749999999999,57.1875
AZPN,2016,68.1425,72.3125,68.655,69.7075
AZTA,2016,75.3075,64.91999999999999,69.50500000000001,69.9125
AZZ,2016,69.2675,72.4425,67.5425,69.7525
B,2016,62.91000000000001,61.7825,65.6825,63.457499999999996
BA,2016,68.46,64.1675,64.9325,65.8575
BABA,2016,61.6,63.61,70.04,65.08
BAC,2016,64.11,69.9975,61.0675,65.0575
BAH,2016,63.3425,67.84750000000001,66.3875,65.8575
BANC,2016,72.95,77.0575,67.705,72.57
