symbol,year,E,S,G,ESG
AGNCO,2018,66.955,86.5475,70.645,74.715
AGNCP,2018,66.955,86.5475,70.645,74.715
AGO,2018,60.3975,59.735,66.89500000000001,62.3425
AGR,2018,73.48,55.7025,60.015,63.0675
AGRO,2018,68.98,59.23,62.53,63.58
AGRX,2018,65.215,57.66,58.6325,60.5025
AGS,2018,64.01,75.97,64.94749999999999,68.31
AGTI,2018,61.19,65.87,66.54,64.53
AGX,2018,73.03,67.4425,65.455,68.6425
AGYS,2018,70.6425,66.5575,64.83,67.345
AHCO,2018,66.67750000000001,78.9325,64.08250000000001,69.895
AHG,2018,52.15,60.33,63.77,58.75
AHH,2018,60.3625,66.345,62.7025,63.1375
AHT,2018,54.4025,55.7125,71.26,60.457499999999996
AIC,2018,72.42500000000001,77.38,72.5025,74.10000000000001
AIG,2018,64.0775,49.95,58.955000000000005,57.6575
AIHS,2018,62.065,57.269999999999996,65.2825,61.5375
AIM,2018,72.015,70.445,64.25,68.905
AIMD,2018,58.269999999999996,68.63,64.705,63.8675
AIN,2018,66.4425,53.935,67.22999999999999,62.535
AINC,2018,50.00999999999999,73.4525,73.52250000000001,65.66
AIR,2018,58.925000000000004,58.105000000000004,62.529999999999994,59.855000000000004
AIRG,2018,60.53,76.11,58.582499999999996,65.075
AIRI,2018,57.825,55.8175,64.98500000000001,59.545
AIRT,2018,55.62499999999999,64.9,64.33500000000001,61.6225
AIT,2018,74.8975,75.935,70.935,73.925
AIV,2018,59.105,64.1825,72.04750000000001,65.1125
AIZ,2018,62.76249999999999,68.2675,68.0675,66.36500000000001
AIZN,2018,62.76249999999999,68.2675,68.0675,66.36500000000001
AJG,2018,70.20500000000001,55.95,63.9125,63.355000000000004
AJX,2018,81.08749999999999,61.4975,75.50999999999999,72.7
AJXA,2018,81.08749999999999,61.4975,75.50999999999999,72.7
AKAM,2018,62.21000000000001,61.22,68.06,63.830000000000005
AKBA,2018,59.73,66.41499999999999,63.875,63.337500000000006
AKR,2018,68.845,64.7075,72.57,68.7075
AKTS,2018,63.642500000000005,63.8825,65.965,64.4975
AKTX,2018,53.07,66.34,61.15,60.19
AL,2018,60.084999999999994,52.2725,64.8875,59.08
ALB,2018,74.3725,79.285,70.69749999999999,74.7875
ALCO,2018,63.165,66.04,66.9275,65.3775
ALDX,2018,49.8725,43.08,60.745,51.23
ALE,2018,70.405,68.65,67.4225,68.825
ALEC,2018,58.6,61.31,63.46,61.12
ALEX,2018,64.9025,70.3125,71.89,69.035
ALG,2018,65.4175,43.995,60.4675,56.625
ALGN,2018,63.0625,49.21,69.2,60.49
ALGT,2018,65.36500000000001,68.0525,65.67500000000001,66.36
ALIM,2018,51.5075,63.035,60.987500000000004,58.5075
ALK,2018,65.6875,65.5675,61.815,64.35499999999999
ALKS,2018,50.9375,70.8425,61.4825,61.0825
ALL,2018,51.3025,57.52499999999999,61.195,56.675
ALLE,2018,67.1875,68.7975,67.20250000000001,67.73
ALLK,2018,56.223333333333336,59.5,57.82666666666666,57.84666666666667
ALLO,2018,58.915,58.965,62.765,60.215
ALLT,2018,64.97,57.86,66.37,63.07
ALLY,2018,66.7875,69.8625,58.16,64.935
ALNY,2018,56.6175,57.0425,64.14999999999999,59.267500000000005
ALOT,2018,59.4725,72.2325,71.045,67.58
ALPN,2018,57.1075,56.405,61.5175,58.345000000000006
ALPP,2018,71.95,62.415,61.9025,65.425
ALRM,2018,68.84,62.4825,60.417500000000004,63.915
ALRN,2018,58.94500000000001,61.285,61.19,60.4725
ALSN,2018,65.22749999999999,62.0875,66.8075,64.7075
ALT,2018,52.052499999999995,62.4875,60.7975,58.4475
ALTO,2018,63.5875,57.644999999999996,58.197500000000005,59.81
ALTR,2018,65.5975,61.135,68.60000000000001,65.1125
ALV,2018,73.91000000000001,61.45,62.515,65.95750000000001
ALX,2018,45.769999999999996,53.0125,65.59,54.78999999999999
AM,2018,66.745,65.38,62.04750000000001,64.72500000000001
AMAT,2018,62.84,66.445,62.739999999999995,64.00999999999999
AMBA,2018,61.75,54.77,62.36,59.6275
AMBC,2018,61.8125,65.95499999999998,63.66,63.81
AMBO,2018,63.43,57.22,67.09,62.58
AMC,2018,49.837500000000006,67.3725,67.1575,61.455
AMCX,2018,70.9375,78.2025,72.67750000000001,73.94250000000001
AMD,2018,48.485,59.8475,58.695,55.6775
AME,2018,57.88999999999999,65.6125,64.4375,62.650000000000006
AMED,2018,88.695,69.325,69.505,75.8425
AMEH,2018,68.4275,72.1525,67.575,69.385
AMG,2018,56.86,62.25749999999999,78.3325,65.8175
AMGN,2018,74.795,64.0725,62.5325,67.135
AMH,2018,74.47,70.0,68.315,70.92750000000001
AMKR,2018,54.7125,54.4025,60.9475,56.6875
AMN,2018,58.9975,68.12,65.555,64.2225
AMNB,2018,67.1,68.34,68.255,67.895
AMOT,2018,51.6775,72.5075,68.7225,64.3025
AMP,2018,66.17,62.9525,71.105,66.74499999999999
AMPE,2018,59.155,58.6975,65.22500000000001,61.025
AMPG,2018,50.7475,54.465,59.685,54.9675
AMPGW,2018,50.7475,54.465,59.685,54.9675
AMPH,2018,60.637499999999996,65.4025,59.1325,61.7225
AMPY,2018,69.8325,71.845,61.4525,67.71
AMR,2018,65.72,64.725,69.38999999999999,66.61
AMRC,2018,80.8925,65.38,68.0975,71.4575
AMRK,2018,61.805,75.16000000000001,72.6725,69.88000000000001
AMRN,2018,55.5025,66.8425,64.265,62.205000000000005
AMRS,2018,65.0675,75.43,60.24999999999999,66.9175
AMRX,2018,47.31,59.0175,56.1575,54.16
AMS,2018,47.355000000000004,63.459999999999994,70.8575,60.559999999999995
AMSC,2018,72.55,68.4075,67.0925,69.35
AMSF,2018,52.230000000000004,45.917500000000004,56.325,51.4925
AMSWA,2018,61.765,77.0275,65.03999999999999,67.94500000000001
AMT,2018,61.120000000000005,64.9325,69.2825,65.11
AMTB,2018,59.51666666666667,69.16666666666667,70.56,66.41333333333334
AMTX,2018,65.0375,70.7825,62.7525,66.1925
AMWD,2018,51.489999999999995,66.785,64.325,60.8675
AMX,2018,66.26,63.82,66.53,65.54
AMZN,2018,55.9375,59.269999999999996,63.125,59.4475
AN,2018,69.145,70.13,69.855,69.71
ANAB,2018,61.6725,55.432500000000005,63.2475,60.1175
ANDE,2018,59.9225,65.3875,63.0575,62.7875
ANET,2018,57.68,59.2175,62.4625,59.785
ANF,2018,74.575,59.19,70.575,68.1125
ANGI,2018,73.2525,66.0025,71.38,70.2125
ANGO,2018,69.425,69.865,59.4125,66.2325
ANIK,2018,63.647499999999994,61.779999999999994,63.067499999999995,62.83
ANIP,2018,63.8625,63.7675,66.845,64.825
ANIX,2018,55.47666666666667,77.36333333333334,64.57000000000001,65.80000000000001
ANSS,2018,71.6075,53.935,71.4375,65.66
ANTE,2018,51.89,57.8,62.67,57.45
ANY,2018,74.885,71.0825,70.9675,72.3125
AON,2018,62.95750000000001,72.7275,69.91499999999999,68.535
AORT,2018,58.53,62.45,62.15,61.042500000000004
AOS,2018,58.995,48.4725,69.7375,59.065
AOSL,2018,63.567499999999995,63.029999999999994,72.69749999999999,66.42999999999999
AP,2018,69.61749999999999,65.67750000000001,68.5975,67.9625
APAM,2018,41.989999999999995,70.07749999999999,71.19250000000001,61.0875
APD,2018,73.6525,64.31,66.6525,68.20750000000001
APDN,2018,62.715,66.6525,66.1125,65.155
APEI,2018,56.755,58.614999999999995,62.75750000000001,59.3775
APH,2018,69.555,61.7,67.95,66.4025
APLE,2018,55.4625,63.09,68.0275,62.192499999999995
APLS,2018,59.265,60.364999999999995,61.455,60.362500000000004
APM,2018,59.74,59.99,61.57,60.44
APOG,2018,44.6125,60.7075,58.465,54.5975
APPF,2018,67.77,68.415,68.6975,68.2925
APPN,2018,63.325,71.1925,73.28,69.2675
APPS,2018,71.175,69.2325,68.2225,69.54249999999999
APRN,2018,48.650000000000006,56.435,59.045,54.707499999999996
APT,2018,54.144999999999996,63.980000000000004,63.4225,60.515
APTO,2018,53.6,60.62,61.22,58.48
APTV,2018,68.64200000000001,69.964,77.402,72.002
APVO,2018,59.295,56.42,60.722500000000004,58.8125
APWC,2018,60.47,57.45,62.73,60.22
APYX,2018,76.5675,56.335,70.5125,67.805
AQB,2018,57.365,85.77250000000001,62.894999999999996,68.67249999999999
AQMS,2018,55.6525,64.53,62.692499999999995,60.9575
AQN,2018,71.36,81.64,60.58,71.19
AQNA,2018,71.36,81.64,60.58,71.19
AQNB,2018,71.36,81.64,60.58,71.19
AQNU,2018,71.36,81.64,60.58,71.19
AQST,2018,48.65,63.086666666666666,66.95333333333333,59.56333333333333
AR,2018,70.66,51.05,67.255,62.9875
ARAV,2018,54.86,59.9025,62.53,59.0975
ARAY,2018,58.545,59.1275,61.09,59.585
ARC,2018,57.34,83.7775,58.739999999999995,66.62
ARCB,2018,64.6375,74.1675,63.897499999999994,67.5675
ARCC,2018,61.4975,69.26,75.85,68.87
ARCE,2018,55.95,65.79,63.14,61.63
ARCH,2018,63.69,64.28999999999999,71.8625,66.6125
ARCO,2018,61.62,58.41,63.12,61.05
ARDX,2018,50.025000000000006,63.080000000000005,59.942499999999995,57.682500000000005
ARE,2018,65.57249999999999,65.7475,63.9875,65.10249999999999
AREB,2018,56.589999999999996,47.8675,65.22250000000001,56.559999999999995
AREBW,2018,56.589999999999996,47.8675,65.22250000000001,56.559999999999995
AREC,2018,60.9925,60.32,58.2825,59.865
AREN,2018,49.907500000000006,63.39,66.7975,60.0325
ARES,2018,79.49000000000001,66.685,68.82,71.6675
ARGD,2018,48.2175,30.16,64.3375,47.57
ARGO,2018,48.2175,30.16,64.3375,47.57
ARGX,2018,65.94,64.71,62.19,64.28
ARI,2018,69.36749999999999,58.535,76.53999999999999,68.14750000000001
ARKR,2018,62.58999999999999,60.2025,67.16,63.3175
ARL,2018,62.220000000000006,62.91,65.67,63.6
ARLO,2018,62.916666666666664,48.94666666666666,66.58333333333333,59.48
ARLP,2018,62.900000000000006,62.85249999999999,65.2175,63.6575
ARMK,2018,57.150000000000006,72.8375,60.5775,63.52250000000001
ARMP,2018,53.559999999999995,39.015,63.3125,51.96000000000001
AROC,2018,74.8875,70.8575,63.885,69.875
