symbol,year,E,S,G,ESG
A,2019,67.9975,63.650000000000006,67.52250000000001,66.39
AA,2019,62.2775,72.3625,62.222500000000004,65.6225
AADI,2019,61.425000000000004,57.522499999999994,62.38499999999999,60.442499999999995
AAIC,2019,70.1575,52.2075,68.3875,63.584999999999994
AAIN,2019,70.1575,52.2075,68.3875,63.584999999999994
AAL,2019,57.19,49.0475,68.5675,58.2675
AAMC,2019,64.30499999999999,69.52250000000001,75.395,69.7425
AAME,2019,56.6575,44.69,64.8475,55.4
AAOI,2019,50.72,55.667500000000004,60.125,55.504999999999995
AAON,2019,57.62,62.32,66.4575,62.135
AAP,2019,62.64,71.3575,70.52,68.17750000000001
AAPL,2019,58.545,47.93,59.5,55.3275
AAT,2019,63.072500000000005,65.765,73.44749999999999,67.4275
AB,2019,55.065,46.6025,67.405,56.36
ABBV,2019,85.6275,82.28500000000001,60.3,76.07249999999999
ABC,2019,61.822500000000005,66.55,68.0475,65.475
ABCB,2019,62.05500000000001,67.5425,70.71,66.7675
ABEO,2019,60.24,54.1175,60.725,58.3625
ABG,2019,72.155,80.77000000000001,61.45,71.45750000000001
ABIO,2019,55.5825,58.91,56.25750000000001,56.915
ABM,2019,83.225,62.8825,63.4775,69.86250000000001
ABR,2019,57.302499999999995,73.2175,67.8925,66.13749999999999
ABT,2019,60.925000000000004,73.91250000000001,66.88999999999999,67.24249999999999
ABUS,2019,60.279999999999994,67.74,67.8175,65.28
ABVC,2019,57.955000000000005,71.76750000000001,68.0275,65.91499999999999
AC,2019,73.4725,60.455,65.6425,66.525
ACA,2019,61.2625,58.932500000000005,67.07499999999999,62.4225
ACAD,2019,61.037499999999994,52.607499999999995,63.142500000000005,58.93
ACB,2019,50.0,94.3,75.54,73.28
ACCO,2019,54.39,56.28999999999999,65.08,58.589999999999996
ACEL,2019,74.64999999999999,73.5325,68.625,72.27000000000001
ACER,2019,58.58500000000001,58.685,58.519999999999996,58.5925
ACET,2019,55.705,64.9025,62.932500000000005,61.18000000000001
ACGL,2019,53.7675,56.145,55.92,55.275000000000006
ACGLN,2019,53.7675,56.145,55.92,55.275000000000006
ACGLO,2019,53.7675,56.145,55.92,55.275000000000006
ACHC,2019,22.895,59.265,63.57,48.5775
ACHV,2019,59.29249999999999,59.075,64.085,60.817499999999995
ACI,2019,64.27,49.6775,62.1125,58.685
ACIW,2019,69.8725,68.39750000000001,64.31,67.525
ACLS,2019,61.467499999999994,55.182500000000005,64.085,60.2425
ACM,2019,62.6575,54.585,58.5325,58.5925
ACMR,2019,56.1725,67.095,67.62,63.63
ACN,2019,66.98000000000002,50.13250000000001,66.7375,61.285
ACNB,2019,58.6825,71.0875,59.4475,63.0725
ACOR,2019,53.805,58.3375,58.3775,56.8375
ACR,2019,53.0775,67.6325,67.52250000000001,62.74249999999999
ACRE,2019,75.4425,64.195,73.3075,70.985
ACRS,2019,52.7275,73.0675,64.65,63.48
ACRX,2019,53.5575,58.6275,58.637499999999996,56.94
ACST,2019,56.71,63.86,64.82,61.8
ACTG,2019,61.7275,44.105,62.92,56.25
ACU,2019,69.62,64.57000000000001,66.67750000000001,66.955
ADAP,2019,53.395,60.0025,61.395,58.2675
ADBE,2019,65.1625,68.39,62.99249999999999,65.51249999999999
ADC,2019,63.989999999999995,72.51,73.21000000000001,69.9025
ADES,2019,70.225,88.4825,70.255,76.32
ADI,2019,53.582499999999996,61.44500000000001,68.8875,61.3025
ADIL,2019,62.315,55.5275,68.5175,62.1175
ADM,2019,63.644999999999996,59.15,63.537499999999994,62.112500000000004
ADMA,2019,64.23499999999999,67.42999999999999,60.587500000000006,64.08250000000001
ADMP,2019,54.5275,59.7025,60.55500000000001,58.260000000000005
ADN,2019,70.53250000000001,79.2275,62.650000000000006,70.80000000000001
ADNT,2019,66.325,64.7525,64.8775,65.32
ADNWW,2019,70.53250000000001,79.2275,62.650000000000006,70.80000000000001
ADP,2019,65.825,73.94250000000001,67.39,69.05
ADPT,2019,49.13999999999999,61.29,65.02,58.48333333333333
ADSK,2019,72.32499999999999,62.184999999999995,60.0125,64.84
ADT,2019,67.06,70.38499999999999,66.33250000000001,67.9275
ADTN,2019,55.8825,67.0575,60.595,61.1775
ADUS,2019,66.29,66.9625,62.23,65.1625
ADV,2019,76.12666666666667,82.14999999999999,63.55666666666667,73.94666666666666
ADVM,2019,46.30500000000001,62.0325,56.480000000000004,54.9375
ADVWW,2019,76.12666666666667,82.14999999999999,63.55666666666667,73.94666666666666
AE,2019,66.5825,55.24250000000001,63.24250000000001,61.69
AEE,2019,71.835,75.72999999999999,63.655,70.405
AEHR,2019,64.6825,76.6925,56.3025,65.8925
AEIS,2019,73.8925,39.86,68.7125,60.8225
AEL,2019,69.195,67.7075,66.2525,67.7175
AEMD,2019,53.4875,54.7425,62.849999999999994,57.025
AEO,2019,74.75250000000001,53.56,61.627500000000005,63.3125
AEP,2019,66.0825,70.6725,58.809999999999995,65.1875
AEPPZ,2019,66.0825,70.6725,58.809999999999995,65.1875
AES,2019,66.2125,65.42999999999999,61.480000000000004,64.375
AESC,2019,66.2125,65.42999999999999,61.480000000000004,64.375
AEVA,2019,76.74,65.74,61.02,67.84
AEY,2019,53.85249999999999,75.4325,68.46000000000001,65.91499999999999
AEYE,2019,60.3425,69.715,63.239999999999995,64.4325
AFG,2019,61.214999999999996,49.4,60.995000000000005,57.2075
AFGB,2019,61.214999999999996,49.4,60.995000000000005,57.2075
AFGC,2019,61.214999999999996,49.4,60.995000000000005,57.2075
AFGD,2019,61.214999999999996,49.4,60.995000000000005,57.2075
AFGE,2019,61.214999999999996,49.4,60.995000000000005,57.2075
AFL,2019,66.66749999999999,68.07249999999999,67.5725,67.4375
AGBA,2019,65.67,76.775,72.08,71.50750000000001
AGBAW,2019,65.67,76.775,72.08,71.50750000000001
AGCO,2019,61.4375,63.01,63.285,62.574999999999996
AGE,2019,68.72999999999999,57.7325,60.8025,62.4225
AGEN,2019,54.4925,58.5875,61.6325,58.239999999999995
AGIL,2019,62.1,63.83,67.35,64.43
AGIO,2019,60.5875,68.06,61.0925,63.245000000000005
AGLE,2019,51.1725,59.975,57.735,56.2975
AGM,2019,75.50999999999999,71.4425,71.62,72.86
AGNC,2019,65.1925,85.36,70.895,73.815
AGNCM,2019,65.1925,85.36,70.895,73.815
AGNCN,2019,65.1925,85.36,70.895,73.815
AGNCO,2019,65.1925,85.36,70.895,73.815
AGNCP,2019,65.1925,85.36,70.895,73.815
AGO,2019,67.055,65.0425,66.55,66.2175
AGR,2019,72.55,58.959999999999994,59.985,63.8325
AGRX,2019,76.935,56.2325,62.8425,65.335
AGS,2019,63.824999999999996,66.55,59.66,63.3475
AGX,2019,72.9625,57.8,65.72999999999999,65.49499999999999
AGYS,2019,59.305,64.125,67.53999999999999,63.655
AHCO,2019,52.46,76.945,64.7525,64.72
AHG,2019,55.15,62.9,63.98,60.67
AHH,2019,64.745,67.3175,63.885,65.3175
AHT,2019,53.51,56.2825,70.1775,59.99250000000001
AIC,2019,70.1575,52.2075,68.3875,63.584999999999994
AIG,2019,66.64,51.714999999999996,62.5525,60.305
AIHS,2019,62.4925,62.247499999999995,67.6125,64.11749999999999
AIM,2019,68.35499999999999,63.975,63.309999999999995,65.2125
AIMD,2019,69.1475,56.2925,56.2425,60.5625
AIN,2019,63.9525,61.605,62.32,62.625
AINC,2019,48.1025,69.2475,74.4875,63.945
AIR,2019,62.9225,62.74,59.8775,61.845
AIRG,2019,61.67,75.4625,61.5875,66.24
AIRI,2019,55.91250000000001,53.47,62.9875,57.455
