symbol,year,E,S,G,ESG
A,2015,62.66749999999999,62.1975,68.285,64.385
AADI,2015,56.925,46.67,64.865,56.1525
AAIC,2015,64.235,77.525,72.955,71.57
AAIN,2015,64.235,77.525,72.955,71.57
AAL,2015,55.745,60.3225,61.717499999999994,59.26
AAMC,2015,55.7975,66.3725,71.225,64.465
AAME,2015,39.705,50.2225,64.04249999999999,51.322500000000005
AAOI,2015,50.745000000000005,56.4475,59.2375,55.477500000000006
AAON,2015,51.515,73.63,65.88499999999999,63.675
AAP,2015,73.3075,54.8975,67.205,65.13499999999999
AAPL,2015,53.762499999999996,51.185,59.6525,54.864999999999995
AAT,2015,65.61999999999999,62.885000000000005,75.68,68.0625
AB,2015,54.095,56.10999999999999,65.9025,58.7025
ABBV,2015,65.1225,74.0925,62.912499999999994,67.375
ABC,2015,64.2125,71.42999999999999,61.887499999999996,65.8425
ABCB,2015,60.182500000000005,68.435,65.91,64.8425
ABEO,2015,64.725,68.4125,60.112500000000004,64.4175
ABG,2015,76.0,76.485,60.4225,70.97
ABIO,2015,54.5325,56.7125,58.7325,56.66
ABM,2015,85.3725,48.597500000000004,71.0,68.3225
ABR,2015,58.4225,73.6575,70.235,67.435
ABT,2015,70.8725,66.2675,70.1425,69.095
ABUS,2015,64.465,60.5925,69.3125,64.78999999999999
ABVC,2015,69.4825,54.245000000000005,66.105,63.2775
AC,2015,65.155,60.025,66.35,63.84
ACAD,2015,61.66,54.055,63.55250000000001,59.7575
ACCO,2015,64.6275,70.5425,65.2875,66.8175
ACER,2015,68.7575,66.53,59.832499999999996,65.04249999999999
ACGL,2015,60.8125,62.8575,58.9825,60.88249999999999
ACGLN,2015,60.8125,62.8575,58.9825,60.88249999999999
ACGLO,2015,60.8125,62.8575,58.9825,60.88249999999999
ACHC,2015,49.5675,67.72999999999999,63.34,60.21249999999999
ACHV,2015,56.712500000000006,63.53,58.44,59.5625
ACIW,2015,71.9625,70.7325,61.42,68.0375
ACLS,2015,61.7825,57.512499999999996,62.975,60.755
