symbol,year,E,S,G,ESG
A,2017,68.345,65.985,68.41749999999999,67.5825
AA,2017,69.89500000000001,61.8025,62.4625,64.72
AACG,2017,58.230000000000004,61.135000000000005,66.57,61.980000000000004
AADI,2017,58.515,58.735,62.0275,59.76
AAIC,2017,71.76249999999999,75.13250000000001,73.075,73.325
AAIN,2017,71.76249999999999,75.13250000000001,73.075,73.325
AAL,2017,61.195,49.46,67.44500000000001,59.364999999999995
AAMC,2017,51.905,75.235,70.97749999999999,66.03999999999999
AAME,2017,44.3575,45.6,63.300000000000004,51.087500000000006
AAOI,2017,53.8825,57.5075,59.29,56.8925
AAON,2017,57.989999999999995,55.5575,67.3,60.285
AAP,2017,70.4075,70.4875,67.72,69.53750000000001
AAPL,2017,56.9575,49.9925,63.035,56.66
AAT,2017,63.8725,61.587500000000006,73.1575,66.205
AAU,2017,63.41,63.75,64.05,63.73
AB,2017,55.2375,42.42,67.5675,55.072500000000005
ABBV,2017,75.0975,74.0875,60.2475,69.81
ABC,2017,58.599999999999994,64.72,65.68,62.9975
ABCB,2017,63.23,69.78500000000001,65.82750000000001,66.28
ABEO,2017,68.87750000000001,62.317499999999995,58.8475,63.3475
ABEV,2017,53.65,61.61,65.82,60.36
ABG,2017,70.90500000000002,75.5075,58.385000000000005,68.265
ABIO,2017,57.6575,56.807500000000005,58.595,57.685
ABM,2017,74.74,54.43,64.92999999999999,64.7
ABR,2017,61.9475,70.55,71.3625,67.95
ABT,2017,55.834999999999994,68.95,67.435,64.07499999999999
ABUS,2017,74.0325,71.45750000000001,65.8425,70.4425
ABVC,2017,49.4925,75.25,64.155,62.9625
AC,2017,63.375,74.64999999999999,68.7,68.9075
ACAD,2017,59.667500000000004,51.305,61.394999999999996,57.4575
ACCO,2017,65.3075,83.08000000000001,67.5025,71.965
ACEL,2017,74.14999999999999,77.11666666666666,67.48,72.92
ACER,2017,61.42,56.985,60.1975,59.5325
ACET,2017,59.91,66.89,62.85,63.21
ACGL,2017,48.400000000000006,56.7675,56.23,53.800000000000004
ACGLN,2017,48.400000000000006,56.7675,56.23,53.800000000000004
ACGLO,2017,48.400000000000006,56.7675,56.23,53.800000000000004
ACHC,2017,48.707499999999996,65.585,59.495000000000005,57.93
ACHV,2017,57.685,58.462500000000006,61.15,59.102500000000006
ACIU,2017,60.61,65.49,63.72,63.28
ACIW,2017,68.84,67.8475,63.6575,66.7825
ACLS,2017,52.480000000000004,57.8,65.07,58.4525
ACM,2017,59.1375,52.215,57.4525,56.2675
ACMR,2017,58.489999999999995,56.14,63.835,59.49
ACN,2017,66.365,61.32249999999999,66.46000000000001,64.7175
ACNB,2017,58.752500000000005,71.6375,59.2325,63.209999999999994
ACOR,2017,65.71249999999999,59.76500000000001,62.605,62.6925
ACR,2017,46.712500000000006,56.004999999999995,65.1775,55.965
ACRE,2017,68.7125,68.0425,72.06,69.6075
ACRS,2017,56.754999999999995,74.345,65.80000000000001,65.63499999999999
ACRX,2017,57.03,62.324999999999996,62.845,60.7325
ACST,2017,58.23,65.41,65.41,63.02
ACTG,2017,54.7,48.1475,64.51,55.785000000000004
ACU,2017,65.3625,68.0225,63.73,65.7025
ADAP,2017,54.295,62.912499999999994,62.695,59.9675
ADBE,2017,62.635,67.8725,62.097500000000004,64.2025
ADC,2017,65.095,69.77,66.735,67.2025
ADES,2017,71.32,72.2825,68.2975,70.6325
ADI,2017,55.305,59.7075,69.8625,61.6225
ADM,2017,65.89750000000001,52.9575,67.2475,62.035000000000004
ADMA,2017,62.26,65.4075,59.934999999999995,62.535
ADMP,2017,51.44,71.5975,62.245000000000005,61.76
ADNT,2017,79.9675,65.38,66.6375,70.66
ADP,2017,77.5025,72.42,63.9075,71.27749999999999
ADSK,2017,68.285,58.8925,62.1525,63.1125
ADT,2017,62.5,72.02,69.33,67.95
ADTN,2017,57.37500000000001,66.655,67.2475,63.76
ADUS,2017,68.2125,63.955,63.605000000000004,65.2575
ADVM,2017,43.504999999999995,51.790000000000006,57.1125,50.802499999999995
AE,2017,66.265,39.760000000000005,58.2525,54.7575
AEE,2017,71.2425,69.39250000000001,61.315,67.3175
AEFC,2017,57.89,58.79,59.27,58.65
AEG,2017,57.89,58.79,59.27,58.65
AEHL,2017,57.83,59.98,65.31,61.04
AEHR,2017,59.93,71.01,57.995000000000005,62.977500000000006
AEIS,2017,75.3275,47.38,64.27250000000001,62.325
AEL,2017,64.9075,71.345,64.42999999999999,66.895
AEM,2017,61.09,50.0,64.27,58.45
AEMD,2017,60.370000000000005,61.21,65.505,62.36
AENZ,2017,61.38,60.8,59.74,60.64
AEO,2017,79.82249999999999,62.387499999999996,61.217499999999994,67.8125
AEP,2017,63.977500000000006,65.0975,59.3025,62.78999999999999
AEPPZ,2017,63.977500000000006,65.0975,59.3025,62.78999999999999
AER,2017,56.15,61.58,67.3,61.68
AES,2017,63.1725,61.8925,64.4425,63.17
AESC,2017,63.1725,61.8925,64.4425,63.17
AEY,2017,59.626,70.40799999999999,63.120000000000005,64.386
AEYE,2017,59.0325,60.537499999999994,64.7975,61.455
AEZS,2017,58.72,73.41,67.96,66.69
AFG,2017,61.6925,51.122499999999995,61.8,58.207499999999996
AFGB,2017,61.6925,51.122499999999995,61.8,58.207499999999996
AFGC,2017,61.6925,51.122499999999995,61.8,58.207499999999996
AFGD,2017,61.6925,51.122499999999995,61.8,58.207499999999996
AFGE,2017,61.6925,51.122499999999995,61.8,58.207499999999996
AFL,2017,65.11,69.14750000000001,66.35,66.86749999999999
AFMD,2017,60.47,69.4,64.89,64.92
AG,2017,61.2,92.78,57.19,70.39
AGCO,2017,61.455,77.82,63.88,67.715
AGEN,2017,56.61,62.2475,62.0025,60.285000000000004
AGI,2017,65.75,79.495,68.195,71.14500000000001
AGIO,2017,57.724999999999994,66.7,65.81,63.41
AGLE,2017,50.457499999999996,63.155,59.147499999999994,57.587500000000006
AGM,2017,67.105,75.53,70.585,71.07
AGMH,2017,58.15,61.89,60.68,60.24
AGNC,2017,65.385,84.985,69.2275,73.2
AGNCM,2017,65.385,84.985,69.2275,73.2
AGNCN,2017,65.385,84.985,69.2275,73.2
AGNCO,2017,65.385,84.985,69.2275,73.2
AGNCP,2017,65.385,84.985,69.2275,73.2
AGO,2017,65.9975,58.3975,68.5075,64.3
AGR,2017,71.095,56.325,59.870000000000005,62.42750000000001
AGRO,2017,67.99,58.59,62.71,63.09
AGRX,2017,62.2975,62.962500000000006,58.3375,61.1975
AGS,2017,59.06999999999999,77.13499999999999,66.685,67.63
AGX,2017,71.47999999999999,65.0875,63.1075,66.56
AGYS,2017,75.29500000000002,71.35249999999999,65.2425,70.63000000000001
AHH,2017,59.5125,70.5175,59.855000000000004,63.295
AHT,2017,54.0,56.737500000000004,70.6125,60.45
AIC,2017,71.76249999999999,75.13250000000001,73.075,73.325
AIG,2017,63.79,45.4875,57.275,55.515
AIM,2017,72.445,73.67750000000001,68.3075,71.47500000000001
AIMD,2017,71.19,69.22749999999999,61.432500000000005,67.285
AIN,2017,64.3425,51.39,64.67,60.1325
AINC,2017,58.642500000000005,67.905,68.8275,65.1225
