symbol,year,E,S,G,ESG
A,2021,69.5475,61.964999999999996,66.7425,66.08500000000001
AA,2021,60.9525,72.465,64.57,65.9975
AAC,2021,66.5725,73.835,72.67,71.025
AACI,2021,53.77666666666667,71.83999999999999,63.25666666666667,62.95666666666667
AACIW,2021,53.77666666666667,71.83999999999999,63.25666666666667,62.95666666666667
AADI,2021,57.205,62.915,60.68,60.2675
AAIC,2021,74.4125,63.232499999999995,72.01,69.88499999999999
AAIN,2021,74.4125,63.232499999999995,72.01,69.88499999999999
AAL,2021,60.239999999999995,58.28750000000001,70.3775,62.97
AAMC,2021,51.235,71.87,74.4575,65.855
AAME,2021,56.99250000000001,50.4725,64.3,57.252500000000005
AAN,2021,64.5025,64.97500000000001,65.675,65.05
AAOI,2021,56.6125,70.7625,62.402499999999996,63.260000000000005
AAON,2021,58.097500000000004,62.9375,68.4375,63.155
AAP,2021,59.120000000000005,63.654999999999994,72.2,64.99
AAPL,2021,53.2775,66.5575,64.2775,61.3725
AAT,2021,66.02000000000001,65.5925,74.57750000000001,68.73
AB,2021,53.31,80.4325,71.12,68.2875
ABBV,2021,70.52250000000001,81.7975,64.935,72.4175
ABC,2021,41.7,63.20250000000001,69.955,58.285
ABCB,2021,62.7975,67.99499999999999,69.4575,66.7475
ABCL,2021,63.69499999999999,68.9125,67.4525,66.6875
ABEO,2021,59.7875,68.38749999999999,67.3375,65.1725
ABG,2021,70.9125,73.0575,63.602500000000006,69.19
ABIO,2021,51.885,57.855,56.2175,55.3175
ABM,2021,71.17,62.485,65.19749999999999,66.28250000000001
ABNB,2021,59.7125,65.08,64.345,63.0475
ABOS,2021,54.38666666666666,65.43666666666667,59.01333333333333,59.60999999999999
ABR,2021,56.357499999999995,75.2825,72.0475,67.895
ABSI,2021,59.07666666666666,64.37,68.47333333333331,63.973333333333336
ABT,2021,71.6525,74.67,72.61000000000001,72.975
ABUS,2021,60.4375,63.99,68.33500000000001,64.2525
ABVC,2021,57.4825,76.9925,69.7825,68.09
AC,2021,83.745,54.302499999999995,64.8425,67.6275
ACA,2021,63.4475,59.05749999999999,68.3875,63.63
ACAB,2021,59.23,67.17,63.46,63.29
ACABW,2021,59.23,67.17,63.46,63.29
ACAD,2021,57.26,56.81,62.9325,59.002500000000005
ACAH,2021,53.6875,73.18499999999999,69.8275,65.565
ACAHW,2021,53.6875,73.18499999999999,69.8275,65.565
ACAQ,2021,67.075,73.37,63.375,67.94
ACB,2021,50.0,99.46,76.0,75.15
ACBA,2021,67.92,70.44,65.61,67.99
ACCD,2021,63.305,70.19250000000001,65.08,66.195
ACCO,2021,60.76,63.5,66.20750000000001,63.489999999999995
ACEL,2021,54.97,77.45750000000001,62.7175,65.0475
