symbol,year,E,S,G,ESG
A,2022,69.29333333333334,57.876666666666665,65.07333333333334,64.08333333333333
AA,2022,58.156666666666666,54.74,64.45333333333333,59.116666666666674
AAC,2022,79.3,67.63499999999999,72.935,73.285
AACI,2022,53.92666666666667,67.44666666666666,65.23666666666666,62.20666666666667
AACIW,2022,29.48,66.67,68.42,54.86
AADI,2022,58.13999999999999,64.05666666666667,63.14666666666667,61.78666666666666
AAIC,2022,80.29666666666667,74.83,75.34,76.82
AAIN,2022,76.76,72.0,72.91,73.89
AAL,2022,60.72,48.00666666666667,67.03333333333333,58.586666666666666
AAMC,2022,82.22,77.48,76.06333333333333,78.58666666666666
AAME,2022,56.24,56.906666666666666,66.07333333333334,59.74
AAN,2022,56.46,74.05,67.51,66.00666666666667
AAOI,2022,56.27666666666667,73.41,62.779999999999994,64.15666666666667
AAON,2022,59.06333333333333,67.13,71.35000000000001,65.84666666666668
AAP,2022,71.82499999999999,56.012499999999996,69.045,65.6275
AAPL,2022,53.1925,58.89,67.39999999999999,59.8275
AAT,2022,69.09333333333333,67.28666666666668,77.82,71.39999999999999
AB,2022,54.169999999999995,96.5,70.42333333333333,73.69666666666667
ABBV,2022,67.51,74.64500000000001,67.57499999999999,69.91
ABC,2022,48.5575,66.7275,66.7125,60.665
ABCB,2022,62.15,69.15666666666665,70.17333333333333,67.16000000000001
ABCL,2022,60.30500000000001,66.175,64.96000000000001,63.815
ABEO,2022,50.663333333333334,76.97333333333334,65.52666666666667,64.38666666666667
ABG,2022,70.10000000000001,82.55333333333333,65.80333333333333,72.82000000000001
ABIO,2022,51.6,56.35,58.49333333333333,55.48
ABM,2022,69.24249999999999,61.705000000000005,66.49000000000001,65.8125
ABNB,2022,61.57666666666666,64.16,67.09666666666668,64.27666666666666
ABOS,2022,43.115,70.59,67.63,60.445
ABR,2022,58.43000000000001,74.29333333333334,74.77999999999999,69.17
ABSI,2022,59.21,60.24666666666667,74.61333333333333,64.69
ABT,2022,59.59,74.07666666666667,74.2,69.29
ABUS,2022,56.68,65.59,72.25333333333333,64.84333333333333
ABVC,2022,57.26,78.58,74.16,70.0
AC,2022,88.38,50.0,65.60333333333334,67.99333333333333
ACA,2022,67.54,69.42,72.29,69.75
ACAB,2022,26.17,76.01,63.735,55.3
ACABW,2022,26.17,76.01,63.82,55.33
ACAD,2022,56.446666666666665,56.20333333333334,64.02333333333333,58.89000000000001
ACAH,2022,50.0,81.38,72.245,67.875
ACAHW,2022,50.0,80.04,72.12,67.39
ACAQ,2022,74.53333333333333,73.88666666666666,67.76666666666667,72.06
ACB,2022,50.0,99.46,73.67,74.38
ACBA,2022,59.52,71.09,63.10666666666666,64.57000000000001
ACCD,2022,64.995,71.97,63.730000000000004,66.9
ACCO,2022,56.75,56.09,61.72,58.185
ACDC,2022,60.06,65.48,62.47,62.67
ACEL,2022,58.769999999999996,74.985,68.49,67.41499999999999
ACER,2022,61.083333333333336,69.69666666666667,59.596666666666664,63.45666666666667
ACET,2022,56.84,50.70666666666667,60.126666666666665,55.88666666666666
ACGL,2022,41.830000000000005,51.01333333333333,56.050000000000004,49.629999999999995
ACGLN,2022,42.82,50.94,54.45,49.4
ACGLO,2022,42.82,50.94,54.45,49.4
ACHC,2022,41.556666666666665,69.02333333333333,65.55666666666666,58.71666666666667
ACHR,2022,62.23,67.42,74.7,68.12
ACHV,2022,56.973333333333336,58.803333333333335,62.82,59.53333333333333
ACI,2022,62.2725,61.955000000000005,60.942499999999995,61.7225
ACIW,2022,64.88,64.23333333333333,64.24333333333334,64.45333333333333
ACLS,2022,51.29,65.49333333333334,68.49,61.76
ACLX,2022,65.14,54.41,59.38666666666666,59.64333333333334
ACM,2022,60.78333333333334,63.169999999999995,61.38,61.776666666666664
ACMR,2022,69.595,59.645,65.75999999999999,65.0
ACN,2022,57.0825,62.7325,67.94749999999999,62.59
ACNB,2022,63.63999999999999,70.11999999999999,60.27666666666667,64.67666666666668
ACNT,2022,64.76,62.9,68.98,65.55
ACON,2022,45.20333333333334,52.35666666666666,70.30333333333333,55.95333333333334
ACOR,2022,58.995000000000005,69.03,65.345,64.455
ACR,2022,80.31,69.53,70.98333333333333,73.60666666666667
ACRE,2022,73.44666666666667,63.913333333333334,76.23666666666666,71.19666666666666
ACRO,2022,50.0,84.47,64.33500000000001,66.265
ACRS,2022,87.48666666666666,81.92666666666666,74.64,81.35
ACRV,2022,50.96,59.22,59.91,56.69
ACRX,2022,51.199999999999996,56.68333333333334,59.21666666666667,55.703333333333326
ACST,2022,55.303333333333335,55.55333333333334,64.55666666666667,58.47
ACT,2022,55.0,50.71,62.24666666666667,55.98666666666666
ACTG,2022,63.53,63.97,67.21000000000001,64.905
ACU,2022,74.71666666666665,50.190000000000005,60.27,61.72666666666667
ACVA,2022,57.160000000000004,54.92666666666667,57.21666666666667,56.43333333333334
ACXP,2022,56.5,52.3,58.129999999999995,55.64
ADAP,2022,80.07,75.27999999999999,61.080000000000005,72.14333333333333
ADBE,2022,60.28,57.955,62.545,60.260000000000005
ADC,2022,63.04999999999999,67.24,72.86,67.72000000000001
ADD,2022,54.735,55.425,56.489999999999995,55.55
ADEA,2022,53.0,60.93,68.33,60.75
ADER,2022,29.91,93.2,58.61,60.57
ADERW,2022,29.91,93.2,58.61,60.57
ADES,2022,65.25666666666666,88.38,71.51,75.04666666666667
ADEX,2022,63.28,83.38333333333333,68.69,71.78000000000002
ADI,2022,49.925,64.5975,66.9725,60.495
ADIL,2022,58.49666666666667,63.17333333333334,69.51666666666667,63.73
ADM,2022,70.89,64.72333333333334,68.95666666666666,68.19
ADMA,2022,59.85666666666666,60.84,63.88666666666666,61.53
ADMP,2022,45.72,61.416666666666664,63.51333333333333,56.88333333333333
ADN,2022,67.67,65.01,68.695,67.125
ADNT,2022,65.315,55.525,67.255,62.7
ADNWW,2022,67.42,65.62,67.92,66.99
ADOC,2022,71.83250000000001,77.245,72.35,73.81
ADOCR,2022,75.53,78.66,76.05,76.75
ADOCW,2022,75.53,78.66,76.05,76.75
ADP,2022,76.67750000000001,72.17,66.245,71.69999999999999
ADPT,2022,49.29666666666666,66.81333333333333,65.65666666666668,60.586666666666666
ADRT,2022,42.05,77.74,69.14666666666666,62.97666666666667
ADSK,2022,71.0325,54.135000000000005,64.5325,63.235
ADT,2022,82.9,72.50999999999999,75.83,77.08
ADTH,2022,65.99,72.31,69.14,69.15
